id|idcvlac|categoria|nombre|nombre_citaciones|nacionalidad|sexo
55|881040||Eddy Catalina Casas Cruz|NaN|Colombiana|Femenino
56|142131||Fernando Ayerbe Quiñones|NaN|Colombiana|Masculino
57|4909|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Hernando Rafael Vergara Varela|NaN|Colombiana|Masculino
58|1437745||Johanna Andrea Botina Insuasty|NaN|Colombiana|Femenino
59|1343067||Jorge Mario Becoche Mosquera|NaN|Colombiana|Masculino
60|895008||Jose Vladimir Sandoval Sierra|NaN|Colombiana|Masculino
61|350460|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Juan Pablo López Ordóñez|NaN|Colombiana|Masculino
62|1399781||Karen Y. Robles López|NaN|Colombiana|Femenino
63|93538||Karol Gisel Velasco Sauca|NaN|Colombiana|Femenino
64|40864||Luisa Fernanda Gomez Feuillet|NaN|Colombiana|Femenino
65|40930||Magda Katherine Perez Grisales|NaN|Colombiana|Femenino
66|1471443||Maria del mar Rivera Portilla|NaN|Colombiana|Femenino
67|1038850||Maria Fernanda González Rojas|NaN|Colombiana|Femenino
68|143294||María Patricia Torres Hernández|NaN|Colombiana|Femenino
69|1392662||Mario Alberto Morales Collazos|NaN|Colombiana|Masculino
70|894877||Mónica B. Ramírez Burbano|NaN|Colombiana|Femenino
71|1496129||Robinson Stevel Lizcano Jimenez|NaN|Colombiana|Masculino
279|1475209||Alvaro Javier Pantoja Matta|NaN|Colombiana|Masculino
72|420840|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Maria Virginia PINZON FERNANDEZ|NaN|Colombiana|Femenino
73|217441||Liliana CALDAS ARIAS|NaN|Colombiana|Femenino
74|1448180|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|ANA ISABEL OSPINA CAICEDO|NaN|Colombiana|Femenino
75|101941||Anabeli Coronel Gaviria|NaN|Colombiana|Femenino
76|57299||Andres Augusto Bravo Ortega|NaN|Colombiana|Masculino
77|140479||Andres Felipe Guerrero Guzman|NaN|Colombiana|Masculino
78|265586||Andrés José Dulcey Cepeda|NaN|Colombiana|Masculino
79|16910||ANDRY YASMID MERA MAMIAN|NaN|Colombiana|Femenino
80|1373010||ANGELA CRISTINA TELLO VALLEJO|NaN|Colombiana|Femenino
81|135985||Camilo Alfonso Vallejo Castillo|NaN|Colombiana|Masculino
82|1576775||Camilo Cortés Mora|NaN|Colombiana|Masculino
83|1606570||Carlos Ernesto Cabrera Velasco|NaN|Colombiana|Masculino
84|1658225||Carlos Maximiliano Priarone|NaN|Extranjero - otra|Masculino
85|1278266|Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Carlos salazar villamarin|NaN|Colombiana|Masculino
86|115417|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Carolina Salguero Bermudez|NaN|Colombiana|Femenino
87|1408340||David Andres Ballesteros Castro|NaN|Colombiana|Masculino
88|1592827||Diana Pahola Arteaga Martinez|NaN|Colombiana|Femenino
89|50186||Diana Sofia Garces Palacios|NaN|Colombiana|Femenino
90|893188||Edgar Castro Franco|NaN|Colombiana|Masculino
91|248827||Francisco Fernando BOHORQUEZ GONGORA|NaN|Colombiana|Masculino
92|973734||Fredy Hernàn Calambàs|NaN|Colombiana|Masculino
93|884839||Gladys Beatriz Galindo Mantilla|NaN|Colombiana|Femenino
94|1349410||Gloria Amparo Miranda Martínez|NaN|Colombiana|Femenino
95|1591686||Henry Enrrique Sanchez Meza|NaN|Colombiana|Masculino
96|176317||HERNANDO DAVID VARGAS SIERRA|NaN|Colombiana|Masculino
97|1408071|Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Hernando Vargas URICOCHEA|NaN|Colombiana|Masculino
98|1562557||HUGO FERNANDO TROCHEZ CEPEDA|NaN|Colombiana|Masculino
99|1520979||JHAN SEBASTIAN SAAVEDRA TORRES|NaN|Colombiana|Masculino
100|1592806||Jimmy Jesid Castro Burbano|NaN|Colombiana|Masculino
101|1589418||Juan David Ortiz Diaz|NaN|Colombiana|Masculino
102|11051||Juan Guillermo López Roa|NaN|Colombiana|Masculino
103|93479||Luis Eduardo Ramirez Bejarano|NaN|Colombiana|Masculino
104|867772||Luis Fernando Cordoba Llanos|NaN|Colombiana|Masculino
105|1593549||Luis Miguel Moyan Polindara|NaN|Colombiana|Masculino
106|1589107||Luisa Fernanda Salazar Ceron|NaN|Colombiana|Femenino
107|1520978||Luisa Fernanda Zúñiga Cerón|NaN|Colombiana|Femenino
108|1431839|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Manuel Felipe Cáceres Acosta|NaN|Colombiana|Masculino
109|132622||Maria Alejandra Ospina Alegría|NaN|Colombiana|Femenino
110|1414337||Maria Amparo Bravo Solano|NaN|Colombiana|Femenino
111|1587985||Maria Cristina Muñoz Mosquera|NaN|Colombiana|Femenino
112|130652||mary cruz romero rodriguez|NaN|Colombiana|Femenino
113|1589111||Natalya Andrea Ordoñez Meneses|NaN|Colombiana|Femenino
114|1520916||Nelson Adolfo López Garzón|NaN|Colombiana|Masculino
115|1589112||Nelson Ivan Ortega Cañas|NaN|Colombiana|Masculino
116|132311||Oscar Julian Rojas Castro|NaN|Colombiana|Masculino
117|57301||Oskar Francisco Cortes Portilla|NaN|Colombiana|Masculino
118|91587||Paola Andrea Yasnó Navia|NaN|Colombiana|Femenino
119|578134||Regina Victoria Plaza Rivera|NaN|Colombiana|Femenino
120|1354087||Rocio Aleida Bolaños Alonso|NaN|Colombiana|Femenino
121|327778|Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Tomas Omar Zamora Bastidas|NaN|Colombiana|Masculino
122|34731||Valentina Agredo Delgado|NaN|Colombiana|Femenino
123|1740960||Valentina Patiño Pérez|NaN|Colombiana|Femenino
124|1767431||William Fernando Gonzalez Dagua|NaN|Colombiana|Masculino
125|91589||Wilmer Jair Díaz Córdoba|NaN|Colombiana|Masculino
126|17602||Yusley Katerine Pabon Salazar|NaN|Colombiana|Femenino
127|12050|Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Deibar René Hurtado Herrera|NaN|Colombiana|Masculino
128|579629||John Jamer Quintero Tapia|NaN|Colombiana|Masculino
129|814075|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Ana Cecilia Becerra PABON|NaN|Colombiana|Femenino
130|1510510||Ana Sofía Pabón Chaves|NaN|Colombiana|Femenino
131|265586||Andrés José Dulcey Cepeda|NaN|Colombiana|Masculino
132|127120||anny mayegly vargas fernandez|NaN|Colombiana|Femenino
133|12823||Daniel GARCES ARAGON|NaN|Colombiana|Masculino
134|1237209||Diana Carolina Cuarán Coral|NaN|Colombiana|Femenino
135|494348||Edier Ricardo Ortega|NaN|Colombiana|Masculino
136|626252||Gerardo JIMENEZ LOPEZ|NaN|Colombiana|Masculino
137|113856||harold andres erazo lopez|NaN|Colombiana|Masculino
138|494364||Harold Humberto Velasco Chavez|NaN|Colombiana|Masculino
139|1354954||Ivonne Stephany Agredo Muñoz|NaN|Colombiana|Femenino
140|112962||JOSE MARIA MOSQUERA ÑAÑEZ|NaN|Colombiana|Masculino
141|186697||Lady Yurani Navarro Vásquez|NaN|Colombiana|Femenino
142|82311||Leidy Vanessa Vásquez Tenorio|NaN|Colombiana|Femenino
143|79769||Leonardo Fabian Saavedra Sauca|NaN|Colombiana|Masculino
144|70076|Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Luis Guillermo Jaramillo Echeverri|NaN|Colombiana|Masculino
145|1344816||Luz del Sol Vesga Parra|NaN|Colombiana|Femenino
146|12068||Maria Andrea Simmonds Tabbert|NaN|Colombiana|Femenino
147|550329||María Cristina Garrido Ramírez|NaN|Colombiana|Femenino
148|1422186||maria virginia patiño lopez|NaN|Colombiana|Femenino
149|323446|Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Nancy Janneth Molano Tobar|NaN|Colombiana|Femenino
150|1237527||Neiffy sanchez estela|NaN|Colombiana|Femenino
151|1707086||Oscar Andrés Peña Zuleta|NaN|Colombiana|Masculino
152|1483727||Paola Andrea Arango Romero|NaN|Colombiana|Femenino
153|1450269||Pastor Ovidio Benavides Piamba|NaN|Colombiana|Masculino
154|88566||Robert Fabián Martínez García|NaN|Colombiana|Masculino
155|1237519||Vicky Johanna Eraso Muñoz|NaN|Colombiana|Femenino
156|1493753||Wilian Andres Mauna Rivera|NaN|Colombiana|Masculino
157|113858||Yomaly Adalid Moreno Ojeda|NaN|Colombiana|Femenino
158|12467|Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Apolinar Figueroa Casas|NaN|Colombiana|Masculino
159|12483||Fabio Antonio Cabezas Fajardo|NaN|Colombiana|Masculino
160|1712324||Alejandro Figueroa Benítez|NaN|Colombiana|Masculino
161|88701||Alex Fernando Meneses Zúñiga|NaN|Colombiana|Masculino
162|636460||Alexander Erazo Velásquez|NaN|Colombiana|Masculino
163|1347426||ANGELA LUCIA PANTOJA MATTA|NaN|Colombiana|Femenino
164|1335008||Angela María Castaño Marín|NaN|Colombiana|Femenino
165|1343997||Angelica Maria Mosquera Muñoz|NaN|Colombiana|Femenino
166|12181||Antonio José Valverde Pardo|NaN|Colombiana|Masculino
167|1580526||Aura Paola Andrade Ayala|NaN|Colombiana|Femenino
168|248||Bernardo Ramiro Ramírez Padilla|NaN|Colombiana|Masculino
169|513024|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Claudia Alejandra Medina Uribe|NaN|Colombiana|Femenino
170|1476880||Cristian Aldemar Gasca Silva|NaN|Colombiana|Masculino
171|132793||Cristian Camilo Muñoz Ordóñez|NaN|Colombiana|Masculino
172|1429058||Cristian Camilo Vidal Maldonado|NaN|Colombiana|Masculino
173|1413698||Cristian Méndez Rodríguez|NaN|Colombiana|Masculino
174|887528||Dario Hernán Ruiz Cobo|NaN|Colombiana|Masculino
175|1427600|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|David Camilo Corrales Muñoz|NaN|Colombiana|Masculino
176|1476857||Dayan González Quijano|NaN|Colombiana|Femenino
177|1359696||Diana Marcela Ruiz Ordoñez|NaN|Colombiana|Femenino
178|446190||Diego Jesús Macias Pinto|NaN|Colombiana|Masculino
179|76988|Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Edier Humberto Pérez|NaN|Colombiana|Masculino
180|1294210|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Fernando Andrés MUÑOZ GÓMEZ|NaN|Colombiana|Masculino
181|1230972||Fernando Felipe Muñoz Muñoz|NaN|Colombiana|Masculino
182|1472516||Ginna Marcela Melenje Fernandez|NaN|Colombiana|Femenino
183|4909|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Hernando Rafael Vergara Varela|NaN|Colombiana|Masculino
184|1427341||Irina Adriana Rosero Pajoy|NaN|Colombiana|Femenino
185|1539793||JESÚS DAVID HURTADO VALENCIA|NaN|Colombiana|Masculino
186|280402||Jordi Morató Farreras|NaN|Extranjero - otra|Masculino
187|12796||José Manuel Castillo Gonzalez|NaN|Colombiana|Masculino
188|1364033||Juan Diego Otero Sarmiento|NaN|Colombiana|Masculino
189|1465825||Juan Fernando Casanova Olaya|NaN|Colombiana|Masculino
190|723703|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Juan Pablo Martínez Idrobo|NaN|Colombiana|Masculino
191|849626|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Juliana Isabel Sarmiento Castillo|NaN|Colombiana|Femenino
192|1605962||KAREN AMPARO MENESES CÓRDOBA|NaN|Colombiana|Femenino
193|63234||Laura Marcela Amaya Hernández|NaN|Colombiana|Femenino
194|63240||Laura Palomino Gomez|NaN|Colombiana|Femenino
195|12475||Leonidas ZAMBRANO POLANCO|NaN|Colombiana|Masculino
196|1389073||Liliana Patricia Paz Betancourt|NaN|Colombiana|Femenino
197|288047||Luisa Fernanda Burbano Bravo|NaN|Colombiana|Femenino
198|920312||Luz Amparo López Noreña|NaN|Colombiana|Femenino
199|12491|Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Luz Stella Pemberthy Gallo|NaN|Colombiana|Femenino
200|1204203|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Margarita Del Rosario Salazar Sanchez|NaN|Colombiana|Femenino
201|182079|Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|MARIA CRISTINA GALLEGO ROPERO|NaN|Colombiana|Femenino
202|1329936|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Maria Cristina Ordoñez Diaz|NaN|Colombiana|Femenino
203|587931||Martha Lucero Bastidas Salamanca|NaN|Colombiana|Femenino
204|288217||Martha Lucia Burbano Garces|NaN|Colombiana|Femenino
205|4057||MAURICIO RAMIREZ MOSQUERA|NaN|Colombiana|Masculino
206|1472224||Miyer Ivan Cerón Muñoz|NaN|Colombiana|Masculino
207|445681|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Monica Patricia Valencia Rojas|NaN|Colombiana|Femenino
615|274550||Oscar Josué Calderón Cortés|NaN|Colombiana|Masculino
208|1009788|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Nilsa Lorena Alvear Narváez|NaN|Colombiana|Femenino
209|1781095||Rachael Maysels|NaN|Extranjero - otra|Femenino
210|168084|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Rodrigo Andrés Sarria Villa|NaN|Colombiana|Masculino
211|723690|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Samir Carlos Joaqui Daza|NaN|Colombiana|Masculino
212|205087||Sandra Patricia Rebolledo Acosta|NaN|Colombiana|Femenino
213|151289||Santiago Martínez Cadena|NaN|Colombiana|Masculino
214|1429009||Santiago Valencia Agredo|NaN|Colombiana|Masculino
215|588040||Silvio Andrés Ordóñez Zúñiga|NaN|Colombiana|Masculino
216|1543838||Sonia Margarita María Triviño Arango|NaN|Colombiana|Femenino
217|1405361||Tatiana Andrea Davila MARTINEZ|NaN|Colombiana|Femenino
218|1444861||Vianny Lizhet Plaza Ortega|NaN|Colombiana|Femenino
219|1388382||Victoria Eugenia Ceballos Sarria|NaN|Colombiana|Femenino
220|195804||Volker Heck|NaN|Extranjero - otra|Masculino
221|651||Yady Tatiana Solano Correa|NaN|Colombiana|Femenino
222|870064||Yamid Arley Mera Velasco|NaN|Colombiana|Masculino
223|1345345||Yanlika Aurora Vidal Pinilla|NaN|Colombiana|Femenino
224|63483||Yulli Liliana Tamayo Vélez|NaN|Colombiana|Femenino
225|233013|Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Olver Bolívar Quijano Valencia|NaN|Colombiana|Masculino
226|397385||Guillermo León Martínez Pino|NaN|Colombiana|Masculino
227|524840|Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Carlos Corredor Jiménez|NaN|Colombiana|Masculino
228|664170||Edgar Arboleda Suárez|NaN|Colombiana|Masculino
229|667021|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Francisco Javier ORTEGA|NaN|Colombiana|Masculino
230|135||JESUS GORKYS MOSQUERA MURILLO|NaN|Colombiana|Masculino
231|1396892||Josè Reinel Bermeo MUNOZ|NaN|Colombiana|Masculino
232|1453479||Juan Manuel Arévalo Viveros|NaN|Colombiana|Masculino
233|1419832||NANCY PIEDAD DIAZ ORTIZ|NaN|Colombiana|Femenino
234|667617||Oscar Raul SANDOVAL ZÚÑIGA|NaN|Colombiana|Masculino
235|745197||Paola Andrea Paz Echavarría|NaN|Colombiana|Femenino
236|1405318||Silvia Maria Salazar Giraldo|NaN|Colombiana|Femenino
237|232947||Simon Andres IDROBO ZUNIGA|NaN|Colombiana|Masculino
238|76149||VIVIANA PATRICIA NARVAEZ CASTILLO|NaN|Colombiana|Femenino
239|1749145||William Kenedy Osnas Baltazar|NaN|Colombiana|Masculino
240|1708369||Zheidy Mabel Rivera Erazo|NaN|Colombiana|Femenino
241|451754|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Elizabeth Garavito Lopez|NaN|Colombiana|Femenino
242|377945||Mario Armando Valencia Cardona|NaN|Colombiana|Masculino
243|1505977||Alfonso María Guzmán Hoyos|NaN|Colombiana|Masculino
244|1396644||Andrea Marcela Rivera BLANCO|NaN|Colombiana|Femenino
245|1379274||CAROLINA HOLGUIN GODOY|NaN|Colombiana|Femenino
246|949558||Dilma Julia VALDERRAMA GIL|NaN|Colombiana|Femenino
247|928682||Edna Rocío Méndez Pinzón|NaN|Colombiana|Femenino
248|1254553||Elvira Alejandra QUINTERO HINCAPIÉ|NaN|Colombiana|
249|688630||Fredy Oswaldo Gonzàlez Cordero|NaN|Colombiana|Masculino
250|847526||Jacqueline Garavito López|NaN|Colombiana|Femenino
251|1462684||Juan Sebastián Yáñez Albarracín|NaN|Colombiana|Masculino
252|1529710||Luis Alberto Diaz Forero|NaN|Colombiana|Masculino
253|1383354||Manuel Andres Ramos Castro|NaN|Colombiana|Masculino
254|1534631||Nidia Ligeya Daza Hernandez|NaN|Colombiana|Femenino
255|1121871||Norma Constanza Zamora Riaño|NaN|Colombiana|Femenino
256|835374||Oscar Giovanni Monroy Piedra|NaN|Colombiana|Masculino
257|1445243||Paula Yinneth Pinzón Rubio|NaN|Colombiana|Femenino
258|1363676||Kenny Elizabeth Campo Sarzosa|NaN|Colombiana|
259|1457048||Miryam Cristina Vargas Guzmán|NaN|Colombiana|
260|1457868||DAVID DE LA TORRE VARGAS|NaN|Colombiana|Masculino
261|866113||Diana Marcela Santacruz Ordoñez|NaN|Colombiana|Femenino
262|137179||Favian Andrés Díaz Navia|NaN|Colombiana|Masculino
263|1473193||JHON JAIRO MUÑOZ PALACIOS|NaN|Colombiana|Masculino
264|1364030||José Arvey Camargo Rojas|NaN|Colombiana|Masculino
265|1011294||María Fernanda figueroa gómez|NaN|Colombiana|Femenino
266|143774||Santiago José Rodriguez Cabezas|NaN|Colombiana|Masculino
267|145449||WILLIAM HENZCER GÓMEZ GÓMEZ|NaN|Colombiana|Masculino
268|1357697|Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Angela Rocio Chantre Astaiza|NaN|Colombiana|Femenino
269|399124||Enith Velasco Valencia|NaN|Colombiana|Femenino
270|1493543||Gustavo Adolfo Fuentes Delgado|NaN|Colombiana|Masculino
271|14219||jhoana katheryne sandoval serna|NaN|Colombiana|Femenino
272|613096||Luz Marina Ardila Barragan|NaN|Colombiana|Femenino
273|10333||Mónica Isabel Beltrán Carmona|NaN|Colombiana|Femenino
274|197157|Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Jose Luis Hoyos Concha|NaN|Colombiana|Masculino
275|1538928||ALAN FERNANDO MUÑOZ VELASCO|NaN|Colombiana|Masculino
276|1378150|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Alcy René Cerón Mosquera|NaN|Colombiana|Masculino
277|1490074||alejandro Bustamante Muriel|NaN|Colombiana|Masculino
278|1492024||alexandra insuasty ortega|NaN|Colombiana|Femenino
280|1496021|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|AMANDA LUCIA FERNANDEZ PEREZ|NaN|Colombiana|Femenino
281|1636642||Ana Julia Hurtado Pinzón|NaN|Colombiana|Femenino
282|1491218||Andres Felipe Obregon Flor|NaN|Colombiana|Masculino
283|888850|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Andres Giraldo Toro|NaN|Colombiana|Masculino
284|49458||Carlos Andres Erazo Pino|NaN|Colombiana|Masculino
285|1344116||Carmenza Liliana López Patiño|NaN|Colombiana|Femenino
286|6656||Cindy Lemos Materon|NaN|Colombiana|Femenino
287|206865||Clara Luz Forero Gómez|NaN|Colombiana|Femenino
288|2021||Clara Milena Concha Lozada|NaN|Colombiana|Femenino
289|1386390||Claudia Maritza Gamboa Franco|NaN|Colombiana|Femenino
290|1370725|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Críspulo Perea Román|NaN|Colombiana|Masculino
291|1637328||David Alejandro Zemanate Avirama|NaN|Colombiana|Masculino
292|1364366||deisy johana ruales madroñero|NaN|Colombiana|Femenino
293|1006339|Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Diana Paola NAVIA PORRAS|NaN|Colombiana|Femenino
294|1576663||Diana Paola Ortega Fernández|NaN|Colombiana|Femenino
295|1430632|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Diego Fernando Roa Acosta|NaN|Colombiana|Masculino
296|1538444||Edier Bley Gaviria Acosta|NaN|Colombiana|Masculino
297|1538867||EDWIN ANDERSON TUNUBALA PAJA|NaN|Colombiana|Masculino
298|1477296|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Elizabeth Rojas Fernández|NaN|Colombiana|Femenino
299|577928|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|FRANCISCO EMILIO ARGOTE VEGA|NaN|Colombiana|Masculino
300|916340||Gabriel Humberto Agredo Ordoñez|NaN|Colombiana|Masculino
301|1592518||Gloria Liliana Rojas Fernández|NaN|Colombiana|Femenino
302|5445||Gonzalo Mauricio Jaramillo Hurtado|NaN|Colombiana|Masculino
303|1474569||Gustavo Adolfo Manrique Bambagué|NaN|Colombiana|Masculino
304|1351586||Gustavo Adolfo Velez Hernandez|NaN|Colombiana|Masculino
305|374156|Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Héctor Samuel Villada Castillo|NaN|Colombiana|Masculino
306|57697||Hernando Bladimir Cabrera Ordoñez|NaN|Colombiana|Masculino
307|1100467||Iván Darío Otero Ramírez|NaN|Colombiana|Masculino
308|349925|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Ivan Paz Narvaez|NaN|Colombiana|Masculino
309|1347183|Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Jeimmy Rocío Bonilla Méndez|NaN|Colombiana|Femenino
310|742520||Jesus Eduardo BRAVO GOMEZ|NaN|Colombiana|Masculino
311|1538825||jhon edisson bucheli imbachi|NaN|Colombiana|Masculino
312|279986|Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria|Jhon Wilder ZARTHA SOSSA|NaN|Colombiana|Masculino
313|1473870||Jinna Vaneza Dorado Fuentes|NaN|Colombiana|Femenino
314|1473877||Joan Felipe Cortés Hurtado|NaN|Colombiana|Masculino
