idcvlac,autores,nombre,tipo,verificado,lugar,fecha,editorial,isbn,volumen,paginas,palabras,areas,sectores
0000724971,"CLAUDIA PATRICIA FERNANDEZ, EDISON RIVERA FIGUEROA, JORGE ENRIQUE RODRIGUEZ",Conformación de dispositivos termistores con coeficiente positivo de temperatura,Libro resultado de investigación,False,España,2012,Editorial Académica Española,10-3846576034,,,No Aplica,No Aplica,No Aplica
0000267244,"SANDRA MORALES VELASCO, NELSON VIVAS QUILA",GESTION ESTRATEGICA DE LA GANADERIA PARA TROPICO SECO,Libro resultado de investigación,False,Colombia,2022,Ediorial Universidad Del Cauca,978-958-732-514-0,,,Agroecosistemas;Eco-efficiency;environmental benefits;lives;forraje,Ciencias Agrícolas;Ciencias Animales y Lechería;Ciencias Animales y Lechería,No Aplica
0000347485,"PETERS MICHAEL, NELSON VIVAS QUILA, SANDRA MORALES VELASCO, BELISARIO HINCAPIE, JULIE KATHERINE ORDONEZ CIFUENTES",ALTERNATIVAS FORRAJERAS PARA EL TROPICO BAJO,Libro resultado de investigación,False,Colombia,2013,Feriva Sa,978-958-694-124-2,,,No Aplica,Ciencias Naturales;Ciencias Biológicas;Ecología,No Aplica
0000347485,SANDRA MORALES VELASCO,"Neolimnos, Resúmenes Vii Seminario Colombiano De Limnología Y I Reunión Internacional Sobre Rios Y Humedales Neotropicales Neolimnos",Libro resultado de investigación,False,Colombia,2006,Centro de publicaciones Universidad del Tolima,958-33-9793-8,200,180,AGUAS;Algas,Ciencias Naturales;Ciencias Biológicas;Ecología,"Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible."
0000195561,"CARLOS ALBERTO GONZALEZ CALLEJAS, JUAN MIGUEL VILLA, JESUS EDUARDO BRAVO",Evaluacion Y Control De Ruido Industrial,Libro resultado de investigación,False,Colombia,2005,Editorial De La Universidad Del Cauca,958-33-8273-6,100,1,normas ISO-18000,Ciencias Sociales;Economía y Negocios;Negocios y Management,Actividades de asesoramiento y consultoría a las empresas
0000195561,"CARLOS ALBERTO GONZALEZ CALLEJAS, JUAN MIGUEL VILLA, JESUS EDUARDO BRAVO",Introduccion A Los Sistemas De Ventilacion Y Control De Ambientes Termicos,Libro resultado de investigación,False,Colombia,2006,Taller Editorial Universidad Del Cauca,958-33-9524-2,200,123,normas ISO-18000,Ciencias Sociales;Economía y Negocios;Negocios y Management,Actividades de asesoramiento y consultoría a las empresas
0000195561,"CARLOS ALBERTO GONZALEZ CALLEJAS, JUAN MIGUEL VILLA, MARTHA LUCIA SANCLEMENTE",Estadìstica Con Spss,Otro libro publicado,False,Colombia,2007,Taller Editorial Universidad Del Cauca,978-958-44-1123-5,100,1,estudios socio economicos,Ciencias Sociales;Economía y Negocios;Negocios y Management,Actividades de asesoramiento y consultoría a las empresas
0000195561,"CARLOS ALBERTO GONZALEZ CALLEJAS, JUAN MIGUEL VILLA, MARTHA LUCIA SANCLEMENTE",Evaluaciòn Financiera De Proyectos,Otro libro publicado,False,Colombia,2007,Taller Editorial Universidad Del Cauca,978-958-44-1575-2,100,1,estudios socio economicos,Ciencias Sociales;Economía y Negocios;Negocios y Management,Actividades de asesoramiento y consultoría a las empresas
0000195561,CARLOS ALBERTO GONZALEZ CALLEJAS,"Formulaciòn Y Evaluaciòn De Proyectos: Màs Que Un Proyecto, Un Plan De Negocios",Libro resultado de investigación,False,Colombia,2009,Ediorial Universidad Del Cauca,978-958-44-4818-7,100,600,No Aplica,No Aplica,No Aplica
0000195561,CARLOS ALBERTO GONZALEZ CALLEJAS,Introduccion Al Diseno De Sistemas De Iluminacion Y Control De Radiaciones,Libro resultado de investigación,False,Colombia,2007,Ediorial Universidad Del Cauca,958-44-0214-5,200,130,No Aplica,No Aplica,No Aplica
0000720011,"CAROL AGUILAR PAZ, JORGE ENRIQUE RODRIGUEZ PAEZ",Metodología Para Un Uso Racional De Las Arcillas,Libro resultado de investigación,True,Alemania,2013,eae - Editorial Académica Española,978-3-8484-5677-2,,,No Aplica,Ingeniería y Tecnología;Ingeniería de los Materiales;Cerámicos,No Aplica
0001467296,"CARLOS EDUARDO RODRIGUEZ MOLANO, DANIA ALEJANDRA FONSECA LOPEZ","Nutrición animal, lípidos y fitoestrógenos",Libro resultado de investigación,True,Colombia,2018,Editorial UPTC,978-958-660-274-7,,,alimento;nutrición;leche;metabolismo;bioquímica,Ciencias Agrícolas;Ciencias Animales y Lechería;Ciencias Animales y Lechería,No Aplica
0001474092,JHON FREDDY GUTIERREZ SOLIS,Establecimiento y manejo de pasturas mejoradas,Libro resultado de investigación,False,Colombia,2018,Centro Internacional De Agricultura Tropical Ciat,978-958-694-215-7,,,No Aplica,No Aplica,No Aplica
0001474092,"JHON FREDDY GUTIERREZ SOLIS, BELISARIO HINCAPIE CARVAJAL, ISABEL CRISTINA MOLINA BOTERO, JACOBO ARANGO MEJIA, MAURICIO EFREN SOTELO CABRERA, PAOLA ANDREA PARDO SARAY",Estrategias Tecnológicas para Mejorar la Productividad y Competitividad de la Actividad Ganadera - Herramientas para Enfrentar el Cambio Climático,Libro resultado de investigación,False,Colombia,2016,Centro Internacional de Agricultura Tropical,978-958-694-155-6,,,No Aplica,"Ciencias Agrícolas;Agricultura, Silvicultura y Pesca;Agronomía, Ciencias Agrícolas;Ciencias Animales y Lechería;Ciencias Animales y Lechería, Ciencias Naturales;Ciencias de la Tierra y Medioambientales;Ciencias del Medio Ambiente",No Aplica
0001637639,JHON JAIRO MUNOZ QUICENO,Establecimiento y manejo de pasturas mejoradas - Algunos aspectos clave a considerar,Libro resultado de investigación,False,Colombia,2018,Centro Internacional De Agricultura Tropical Ciat,978-958-694-215-7,,,Análisis de costos y beneficios,No Aplica,No Aplica
