idcvlac,categoria,nombre,nombre_citaciones,nacionalidad,sexo
0001494646,Investigador Junior ,Pablo Hernando Ruiz Melenje,"RUIZ MELENJE, PABLO HERNANDO",Colombiana,Masculino
0001368173,No Aplica,ALEX ARMANDO TORRES BERMUDEZ,"TORRES BERMUDEZ, ALEX ARMANDO",Colombiana,Masculino
0001535173,No Aplica,ANDERSON PECHENE TUNUBALA,"PECHENE TUNUBALA, ANDERSON",Colombiana,Masculino
0000074802,No Aplica,ANDRES FELIPE SARRRIA FERNANDEZ,"SARRRIA FERNANDEZ, ANDRES FELIPE",Colombiana,Masculino
0001417846,Investigador Junior ,Angela Patricia Villareal Freire,"VILLAREAL FREIRE, ANGELA PATRICIA",Colombiana,Femenino
0001606175,No Aplica,Anyela Marcela Rivera Mera,"RIVERA MERA, ANYELA MARCELA",Colombiana,Femenino
0000894796,No Aplica,Bibiana Patricia Montoya Bonilla,"MONTOYA BONILLA, BIBIANA PATRICIA",Colombiana,Femenino
0001364982,No Aplica,CARLOS ENRIQUE POLANCO HERRERA,"POLANCO HERRERA, CARLOS ENRIQUE",Colombiana,Masculino
0001361780,Investigador Junior ,Clara Lucia Burbano Gonzalez,"BURBANO GONZALEZ, CLARA LUCIA",Colombiana,Femenino
0001637782,No Aplica,Claudia Lorena Larrahondo Caicedo,"LARRAHONDO CAICEDO, CLAUDIA LORENA",Colombiana,Femenino
0001368229,No Aplica,diego andres alegria ruiz,"ALEGRIA RUIZ, DIEGO ANDRES",Colombiana,Masculino
0000992089,No Aplica,Diego Felipe Alegria Lopez,"ALEGRIA LOPEZ, DIEGO FELIPE",Colombiana,Masculino
0000333816,No Aplica,Edgar Matallana Sanchez,"MATALLANA SANCHEZ, EDGAR",Colombiana,Masculino
0001674493,No Aplica,Erika Liliana Gallego Gómez,"GALLEGO GÓMEZ, ERIKA LILIANA",Colombiana,Femenino
0001462299,No Aplica,Ever Gregorio Martinez Romero,"MARTINEZ ROMERO, EVER GREGORIO",Colombiana,Masculino
0001365167,No Aplica,EYVAR ANDRES BOLAÑOS VIDAL,"BOLAÑOS VIDAL, EYVAR ANDRES",Colombiana,No Aplica
0001438029,No Aplica,Flor de Maria Hernandez PEREZ,"HERNANDEZ PEREZ, FLOR DE MARIA",Colombiana,Femenino
0001380875,No Aplica,Francia Silvana Sànchez Vàsquez,"SÀNCHEZ VÀSQUEZ, FRANCIA SILVANA",Colombiana,Femenino
0000178423,No Aplica,Francisco Javier Obando Vidal,"OBANDO VIDAL, FRANCISCO JAVIER",Colombiana,Masculino
0001353314,Investigador Asociado ,Gabriel Elías Chanchí Golondrino,"CHANCHÍ GOLONDRINO, GABRIEL ELÍAS",Colombiana,Masculino
0001380892,No Aplica,Gerardo Andres Pianda Gonzalez,"PIANDA GONZALEZ, GERARDO ANDRES",Colombiana,Masculino
0001387326,No Aplica,Gineth Magaly Cerón RIOS,"CERÓN RIOS, GINETH MAGALY",Colombiana,Femenino
0000099219,No Aplica,GUILLERMO ALBERTO CIFUENTES ALVAREZ,"CIFUENTES ALVAREZ, GUILLERMO ALBERTO",Colombiana,Masculino
0001365599,No Aplica,Gustavo Andres Uribe Gómez,"URIBE GÓMEZ, GUSTAVO ANDRES",Colombiana,Masculino
0000523496,Investigador Junior ,Gustavo Eduardo Constaín Moreno,"CONSTAÍN MORENO, GUSTAVO EDUARDO",Colombiana,Masculino
0001499924,Investigador Junior ,Helder Yesid Castrillón Cobo,"CASTRILLÓN COBO, HELDER YESID",Colombiana,Masculino
0001628489,No Aplica,Huber Andres Maca Ordoñez,"MACA ORDOÑEZ, HUBER ANDRES",Colombiana,Masculino
0000374865,No Aplica,Ilich Ernesto Verdugo Muñoz,"VERDUGO MUÑOZ, ILICH ERNESTO",Colombiana,Masculino
0001253220,No Aplica,Ingrid Paola Solano Benitez,"SOLANO BENITEZ, INGRID PAOLA",Colombiana,Femenino
0001978207,No Aplica,Ivan Dario Londoño Ramón,"LONDOÑO RAMÓN, IVAN DARIO",Colombiana,Masculino
0000374920,No Aplica,Jair Mendoza Ceballos,"MENDOZA CEBALLOS, JAIR",Colombiana,Masculino
0001368232,No Aplica,jairo antonio cabrera torres,jairo torres,Colombiana,Masculino
0001365784,No Aplica,JOSE FERNANDO CONCHA GONZALEZ,"CONCHA GONZALEZ, JOSE FERNANDO",Colombiana,Masculino
0000212440,No Aplica,José Wildeman Ordóñez Valverde,"ORDÓÑEZ VALVERDE, JOSÉ WILDEMAN",Colombiana,Masculino
0000083537,No Aplica,juan david lópez fuentes,"LÓPEZ FUENTES, JUAN DAVID",Colombiana,Masculino
0000170944,No Aplica,Juan Pablo Martinez Pulido,"MARTINEZ PULIDO, JUAN PABLO",Colombiana,Masculino
0001412477,Investigador Junior ,Julián Fernando Muñoz Ordóñez,"MUÑOZ-ORDÓÑEZ, JULIÁN FERNANDO",Colombiana,Masculino
0001698898,No Aplica,Julián René Muñoz Burbano,"MUÑOZ BURBANO, JULIÁN RENÉ",Colombiana,Masculino
0000677043,No Aplica,Julio Ricardo Martínez Montezuma,"MARTÍNEZ MONTEZUMA, JULIO RICARDO",Colombiana,Masculino
0001492988,Investigador Asociado ,KATERINE MARCELES VILLALBA,"MARCELES VILLALBA, KATERINE",Colombiana,Femenino
0000155379,Investigador Junior ,Leydi Rocio Erazo Paruma,"ERAZO PARUMA, LEYDI ROCIO",Colombiana,Femenino
0000438456,No Aplica,Lina Uribe,"URIBE-CORREA, L",Colombiana,Femenino
0001369203,No Aplica,Luis Fernando Abanis Popò,"ABANIS POPÒ, LUIS FERNANDO",Colombiana,Masculino
0000165128,No Aplica,Luis Ortiz Collazos,"ORTIZ COLLAZOS, LUIS",Colombiana,Masculino
0000900893,Investigador Asociado ,Maria Isabel Vidal Caicedo,"VIDAL CAICEDO, MARIA ISABEL",Colombiana,Femenino
0001605118,No Aplica,MARYURY CLARITZA BARRERA DAZA,"BARRERA DAZA, MARYURY CLARITZA",Colombiana,Femenino
0001383681,No Aplica,Mauricio Andres Mosquera Rios,"MOSQUERA RIOS, MAURICIO ANDRES",Colombiana,Masculino
0001727629,No Aplica,Michael Stivens Pardo Burbano,Michael Pardo-Burbano,Colombiana,Masculino
0001425759,No Aplica,Nury Astrid Achicue Cruz,"ACHICUE CRUZ, NURY ASTRID",Colombiana,Femenino
0001575638,No Aplica,Oscar David Matallana Tost,Oscar David Matallana-Tost,Extranjero - otra,Masculino
0000920380,No Aplica,Pedro Harvey Alvarez Sanchez,"ALVAREZ SANCHEZ, PEDRO HARVEY",Colombiana,Masculino
0000907561,No Aplica,Robinson Rodríguez Toro,"RODRÍGUEZ TORO, ROBINSON",Colombiana,Masculino
0001620320,Investigador Junior ,Vanessa Agredo Delgado,"AGREDO DELGADO, VANESSA",Colombiana,Femenino
0000826820,Investigador Asociado ,Luis Ervin Prado Arellano,"PRADO ARELLANO, LUIS ERVIN",Colombiana,Masculino
0000001761,No Aplica,David Fernando Prado Valencia,"PRADO VALENCIA, DAVID FERNANDO",Colombiana,Masculino
0000140642,No Aplica,Ángela Rocío Sevilla Zuñiga,"SEVILLA ZUÑIGA, ÁNGELA ROCÍO",Colombiana,Femenino
0000139617,No Aplica,Angie Guerrero Zamora,"GUERRERO ZAMORA, ANGIE",Colombiana,Femenino
0001479719,Investigador Junior ,Edgar de Jesús Velásquez RIVERA,"VELÁSQUEZ RIVERA, EDGAR DE JESÚS",Colombiana,Masculino
0001348276,No Aplica,Julieth Johanna Batero Portilla,"BATERO PORTILLA, JULIETH JOHANNA",Colombiana,Femenino
0000002006,No Aplica,Laura Helena Ramírez Tobar,"RAMÍREZ TOBAR, LAURA HELENA",Colombiana,Femenino
0000312304,No Aplica,Marcela Piamonte Cruz,"PIAMONTE CRUZ, MARCELA",Colombiana,Femenino
0001564881,No Aplica,María Isabel Delgado López,"DELGADO LÓPEZ, MARÍA ISABEL",Colombiana,Femenino
0000063743,No Aplica,Mónica Fernanda Canencio Nates,"CANENCIO NATES, MÓNICA FERNANDA",Colombiana,Femenino
0001443120,No Aplica,Natalia Cobo PAZ,"COBO PAZ, NATALIA",Colombiana,Femenino
0000000404,No Aplica,Nórida Fernanda Muñoz Ortiz,"MUÑOZ ORTIZ, NÓRIDA FERNANDA",Colombiana,Femenino
0001351820,No Aplica,Wilian Giovani Jiménez Escobar,"JIMÉNEZ ESCOBAR, WILIAN GIOVANI",Colombiana,Masculino
0000087742,No Aplica,Yurany Perdomo Forero,"PERDOMO FORERO, YURANY",Colombiana,Femenino
0000709786,Investigador Asociado ,JULLY ANDREA MORENO MARTINEZ,"MORENO MARTINEZ, JULLY ANDREA",Colombiana,Femenino
0000025619,No Aplica,Diego Felipe Espinosa Erazo,"ESPINOSA ERAZO, DIEGO FELIPE",Colombiana,Masculino
0000724971,No Aplica,Edison Rivera Figueroa,"RIVERA FIGUEROA, EDISON",Colombiana,Masculino
0000173229,No Aplica,FRANCISCO JAVIER BEDOYA RODRIGUEZ,Bedoya-Rodríguez Francisco J.,Colombiana,Masculino
0000521965,Investigador Asociado ,Jaime Humberto Mendoza Chacon,"MENDOZA CHACON, JAIME HUMBERTO",Colombiana,Masculino
0000032920,No Aplica,Jorge Luís Collazos Velasco,"COLLAZOS VELASCO, JORGE LUIS",Colombiana,Masculino
0001649662,No Aplica,Juan David Guzmán Villamarín,J.D.Guzmán,Colombiana,Masculino
0001624639,No Aplica,Juan Manuel Segura Mosquera,"SEGURA MOSQUERA, JUAN MANUEL",Colombiana,Masculino
0001576390,No Aplica,Luciana Molina Quijano,"MOLINA QUIJANO, LUCIANA",Colombiana,Femenino
0001760200,Investigador Asociado ,Luis Fernando Pedraza Ruiz,"RUIZ PEDRAZA, LUIS FERNANDO",Colombiana,Masculino
0000129494,No Aplica,Nora Fernanda Arciniegas Sánchez,"ARCINIEGAS SÁNCHEZ, NORA FERNANDA",Colombiana,Femenino
0000411884,Investigador Asociado ,Richard Marcelo Imbachi Chavez,"IMBACHI CHAVEZ, RICHARD MARCELO",Colombiana,Masculino
0000267244,Investigador Asociado ,NELSON VIVAS QUILA,"VIVAS QUILA, NELSON",Colombiana,Masculino
0000347485,Investigador Asociado ,Sandra Morales Velasco,"MORALES VELASCO, SANDRA",Colombiana,Femenino
0000062331,No Aplica,Antonio José Chaguendo Dorado,"CHAGUENDO DORADO, ANTONIO JOSÉ",Colombiana,Masculino
0001521131,No Aplica,Belisario Hincapie Carvajal,B.Hincapié,Colombiana,No Aplica
0000195561,No Aplica,Carlos Alberto Gonzalez Callejas,"GONZALEZ CALLEJAS, CARLOS ALBERTO",Colombiana,Masculino
0000720011,Investigador Junior ,Carol Aguilar Paz,"AGUILAR PAZ, CAROL",Colombiana,Femenino
0001237675,No Aplica,Claudia Lorena Cerón Fernández,"CERÓN FERNÁNDEZ, CLAUDIA LORENA",Colombiana,Femenino
0001370725,No Aplica,Críspulo Perea Román,"PEREA ROMÁN, CRÍSPULO",Colombiana,Masculino
0001467296,Investigador Junior ,Dania Alejandra Fonseca Lopez,Dania Fonseca-López,Colombiana,Femenino
0000040103,No Aplica,Edward Fabian Delgado Maca,"DELGADO MACA, EDWARD FABIAN",Colombiana,Masculino
0000018449,No Aplica,Eiver Julián Cotacio Ramos,"COTACIO RAMOS, EIVER JULIÁN",Colombiana,Masculino
0001484457,No Aplica,elkin robinson rendon chacon,e.rendon,Colombiana,Masculino
0001551734,Investigador Junior ,FABIAN GERARDO MUÑOZ GARCIA,"MUÑOZ GARCIA, FABIAN GERARDO",Colombiana,Masculino
0000349941,No Aplica,Fabio Alonso Prado Cerón,"PRADO CERÓN, FABIO ALONSO",Colombiana,Masculino
0000169151,No Aplica,Ingrit Yohana Rengifo Rengifo,Rengifo I,Colombiana,Femenino
0000039315,No Aplica,Jesús Gerardo Galindez,"GALINDEZ, JESÚS GERARDO",Colombiana,Masculino
0001474092,No Aplica,Jhon Freddy Gutierrez Solis,"GUTIERREZ SOLIS, JHON FREDDY",Colombiana,Masculino
0001637639,No Aplica,Jhon Jairo Muñoz Quiceno,"MUÑOZ QUICENO, JHON JAIRO",Colombiana,Masculino
0001243306,Investigador Junior ,Juliana Isabel Carvajal Tapia,"CARVAJAL TAPIA, JULIANA ISABEL",Colombiana,Femenino
0001464030,No Aplica,Leadith Alexandra Gutierrez Velez,"GUTIERREZ VELEZ, LEADITH ALEXANDRA",Colombiana,Femenino
0000697656,No Aplica,Leonidas Alberto Zambrano Sánchez,"ZAMBRANO SÁNCHEZ, LEONIDAS ALBERTO",Colombiana,Masculino
0000039603,No Aplica,Lisbeth Rocio Ruíz Mosquera,"RUÍZ MOSQUERA, LISBETH ROCIO",Colombiana,Femenino
0001408212,No Aplica,Mauricio Efren Sotelo Cabrera,"SOTELO CABRERA, MAURICIO EFREN",Colombiana,Masculino
0001300121,No Aplica,Michael Peters,"PETERS, MICHAEL",Colombiana,Masculino
0000044115,No Aplica,Mike Holmes Bastidas Chitan,"BASTIDAS CHITAN, MIKE HOLMES",Colombiana,Masculino
0000344150,No Aplica,Noé Albán López,"ALBÁN LÓPEZ, NOÉ",Colombiana,Masculino
0000715662,No Aplica,Rosa Lina Acosta Sánchez,"SÁNCHEZ, R. L. A.",Colombiana,Femenino
0001865404,No Aplica,Sara Stephanie Valencia Salazar,Valencia-Salazar,Colombiana,Femenino
0001596901,No Aplica,Sirley Carrillo Hernandez,"CARRILLO HERNANDEZ, SIRLEY",Colombiana,Femenino
0001475003,No Aplica,Victor Andrés Burbano Muñoz,"BURBANO MUÑOZ, VICTOR ANDRÉS",Colombiana,Masculino
0001401769,No Aplica,Yeny Judith Garcés CAICEDO,"GARCÉS CAICEDO, YENY JUDITH",Colombiana,Femenino
0000149503,No Aplica,Yerika Jeslanny Morales Bravo,"MORALES BRAVO , YERIKA JESLANNY",Colombiana,Femenino
0001378453,Investigador Junior ,CARLOS AUGUSTO MARTINEZ MAMIAN,"MARTINEZ MAMIAN, CARLOS AUGUSTO",Colombiana,Masculino
0000952265,Investigador Junior ,Marta Cecilia Camacho Ojeda,"CAMACHO OJEDA, MARTA CECILIA",Colombiana,Femenino
0000923028,Investigador Junior ,Alberto Bravo Buchely,"BRAVO BUCHELY, ALBERTO",Colombiana,Masculino
0001417830,No Aplica,Andrés Felipe Aguirre Aguirre,"AGUIRRE AGUIRRE, ANDRÉS FELIPE",Colombiana,Masculino
0000896535,No Aplica,Carolina Andrea Carrascal Reyes,"CARRASCAL , CAROLINA",Colombiana,Femenino
0000043879,No Aplica,CLAUDIA SOFIA IDROBO CRUZ,"IDROBO CRUZ, CLAUDIA SOFIA",Colombiana,Femenino
0001651693,No Aplica,Darly Mildred Delgado Agudelo,"DELGADO AGUDELO, DARLY MILDRED",Colombiana,Femenino
0000916897,No Aplica,Dayner ORDOÑEZ LOPEZ,"ORDOÑEZ LOPEZ, FELIPE",Colombiana,Masculino
0001651831,No Aplica,Diego Fernando Girón Timaná,"Girón Timaná, Diego Fernando",Colombiana,Masculino
0001635108,No Aplica,Ehyvarth Alejandro Bolaños Ussa,"BOLAÑOS USSA, EHYVARTH ALEJANDRO",Colombiana,Masculino
0001500497,Investigador Junior ,Eleonora Palta VELASCO,"PALTA VELASCO, ELEONORA",Colombiana,Femenino
0001606466,No Aplica,Fabián Andrés Muñoz Lozada,"MUÑOZ LOZADA, FABIÁN ANDRÉS",Colombiana,Masculino
0000915416,Investigador Junior ,Fredy Alonso Vidal Alegria,"VIDAL ALEGRIA, FREDY ALONSO",Colombiana,Masculino
0001605273,No Aplica,John Jairo Perafán Ruiz,"PERAFÁN RUIZ, JOHN JAIRO",Colombiana,No Aplica
0001341288,Investigador Asociado ,Jose Luis Jurado Muñoz,"JURADO MUÑOZ, JOSE LUIS",Colombiana,Masculino
0000945188,No Aplica,JULIO CESAR ROSAS GUEVARA,"ROSAS GUEVARA, JULIO CESAR",Colombiana,No Aplica
0000159427,No Aplica,maria alejandra varona taborda,"VARONA TABORDA, MARIA ALEJANDRA",Colombiana,Femenino
0000862282,No Aplica,Oscar Armando Peteche,"PETECHE, OSCAR ARMANDO",Colombiana,Masculino
0000012130,Investigador Senior ,Maite Del Pilar Rada Mendoza,"RADA MENDOZA, MAITE DEL PILAR",Colombiana,Femenino
0000635863,No Aplica,Agustín Olano Villén,"OLANO, A",Extranjero - otra,Masculino
0000518980,Investigador Junior ,Diana María CHITO TRUJILLO,"CHITO TRUJILLO, DIANA MARÍA",Colombiana,Femenino
0000635324,Investigador Senior ,Francisco Javier Moreno Andújar,"MORENO ANDÚJAR, FRANCISCO JAVIER",Extranjero - otra,Masculino
0000374156,Investigador Senior ,Héctor Samuel Villada Castillo,"VILLADA CASTILLO, HÉCTOR SAMUEL",Colombiana,Masculino
0000635871,No Aplica,José Angel Gómez Ruiz,"GÓMEZ RUIZ, JOSÉ ANGEL",Extranjero - otra,Masculino
0000012998,Investigador Senior ,José Luis Arciniegas Herrera,"ARCINIEGAS HERRERA, JOSÉ LUIS",Colombiana,Masculino
0001246933,No Aplica,Leidy Fernanda Alvira Manios,"MANIOS, L. F. A.",Colombiana,Femenino
0001345231,No Aplica,LILA MARCELA CLAROS GÓMEZ,CLAROS L.,Colombiana,Femenino
0000873411,Investigador Junior ,María Del Mar Villamiel Guerra,"VILLAMIEL GUERRA, MARÍA DEL MAR",Extranjero - otra,Femenino
0000635880,Investigador Senior ,María Luz Sanz Murias,"SANZ MURIAS, MARÍA LUZ",Extranjero - otra,No Aplica
0000635014,No Aplica,Marisol Salazar Sandoval,"SALAZAR SANDOVAL, MARISOL",Colombiana,Femenino
0000635820,No Aplica,Nieves Corzo Sánchez,"CORZO SÁNCHEZ, NIEVES",Extranjero - otra,Femenino
0000193453,Investigador Junior ,Patricia Eugenia Vélez Varela,"VÉLEZ VARELA, PATRICIA EUGENIA",Colombiana,Femenino
0001425557,No Aplica,Roberto Julián Del Castillo Ramírez,"DEL CASTILLO RAMÍREZ, ROBERTO JULIÁN",Colombiana,Masculino
0001239147,No Aplica,Victoria Eugenia Galvis Calambás,"GALVIS CALAMBÁS, VICTORIA EUGENIA",Colombiana,Femenino
0001603568,No Aplica,Yeniffer Usuriaga Mulato,"USURIAGA MULATO, YENIFFER",Colombiana,Femenino
0001494072,No Aplica,Sandra Lorena López Quintero,"LÓPEZ QUINTERO, SANDRA LORENA",Colombiana,Femenino
0001494075,No Aplica,CARLOS HERNAN MORALES HORMIGA,"MORALES HORMIGA, CARLOS HERNAN",Colombiana,Masculino
0001617161,No Aplica,angélica guerrero lopez,"GUERRERO LOPEZ, ANGÉLICA",Colombiana,Femenino
0001494077,No Aplica,claudia andrea suarez ramos,"SUAREZ RAMOS, CLAUDIA ANDREA",Colombiana,Femenino
0000113785,No Aplica,Diana Patricia Gutierrez Montenegro,"GUTIERREZ MONTENEGRO, DIANA PATRICIA",Colombiana,Femenino
0001573262,No Aplica,EDWIN RIVERA GOMEZ,RIVERA. G. E.,Colombiana,Masculino
0000034754,No Aplica,FRANKLIN ORLANDO LOPEZ MERA,"LOPEZ MERA, FRANKLIN ORLANDO",Colombiana,Masculino
0001380950,No Aplica,Fredy Eduardo Lopez Daza,"LOPEZ DAZA, FREDY EDUARDO",Colombiana,Masculino
0001558568,Investigador Junior ,Gustavo Adolfo Alegría Fernández,"ALEGRÍA FERNÁNDEZ, GUSTAVO ADOLFO",Colombiana,Masculino
0001416600,No Aplica,Gustavo Cardona Chávez,"CARDONA CHÁVEZ, GUSTAVO",Colombiana,Masculino
0000020456,No Aplica,Hernán Dario Anacona Idrobo,"ANACONA IDROBO, HERNÁN DARIO",Colombiana,Masculino
0001480205,No Aplica,JAIME VENTE GARCES,"VENTE GARCES, JAIME",Colombiana,Masculino
0001382231,No Aplica,JOSE BERNARDO ROBLES MORENO,ROBLES MORENO JOSE BERNARDO,Colombiana,Masculino
0001627047,No Aplica,katherin johana cuchumbe avirama,"CUCHUMBE AVIRAMA, KATHERIN JOHANA",Colombiana,Femenino
0000114042,No Aplica,Lizeth Viviana Sarria Dorado,"SARRIA DORADO, LIZETH VIVIANA",Colombiana,Femenino
0001371605,No Aplica,Maria Eugenia Erazo Idrobo,"ERAZO IDROBO, MARIA EUGENIA",Colombiana,Femenino
0001494070,No Aplica,Rubén Andrés Ortega Bonilla,"ORTEGA BONILLA, RUBÉN ANDRÉS",Colombiana,Masculino
0000639893,No Aplica,Sonia Del Consuelo Gaviria Armero,"GAVIRIA ARMERO, SONIA DEL CONSUELO",Colombiana,Femenino
0001459020,No Aplica,XIMENA ANDREA RUIZ ERAZO,"RUIZ ERAZO, XIMENA ANDREA",Colombiana,Femenino
0001941350,No Aplica,Yudy Paola Valencia Flórez,"VALENCIA FLÓREZ, YUDY PAOLA",Colombiana,Femenino
0000446190,Investigador Junior ,Diego Jesús Macias Pinto,"MACIAS PINTO, DIEGO JESÚS",Colombiana,Masculino
0000012726,Investigador Asociado ,Olga Lucia Sanabria Diago,"SANABRIA DIAGO, OLGA LUCIA",Colombiana,Femenino
0001442647,No Aplica,Abigail Aguilar Contreras,"AGUILAR CONTRERAS, ABIGAIL",Mexicana,Femenino
0000311740,Investigador Junior ,Alejandra GONZALEZ ACEVEDO,"GONZALEZ ACEVEDO, ALEJANDRA",Colombiana,Femenino
0000037938,No Aplica,Alexis de Bermudez Bermúmez,"BERMÚMEZ, ALEXIS DE BERMUDEZ",Venezolana,Masculino
0000692220,No Aplica,Alexis De Jesús Bermúdez,"BERMÚDEZ , ALEXIS DE JESÚS",Venezolana,Masculino
0001612892,No Aplica,ARTURO ARGUETA VILLAMAR,"ARGUETA VILLAMAR, ARTURO",Mexicana,Masculino
0000037563,No Aplica,Bibiana Leonor Vilá,"VILÁ, BIBIANA LEONOR",Extranjero - otra,Femenino
0000137327,No Aplica,Carlos David Gallego Pedraza,"GALLEGO PEDRAZA, CARLOS DAVID",Colombiana,Masculino
0000325430,No Aplica,CARLOS HERNANDO NAVIA IMBACHI,"NAVIA, C. H.",Colombiana,Masculino
0000468304,Investigador Junior ,Carolina Feuillet Hurtado,"FEUILLET HURTADO, CAROLINA",Colombiana,Femenino
0000030781,No Aplica,Clara Sophia Millan Bonilla,"MILLAN BONILLA, CLARA SOPHIA",Colombiana,Femenino
0000612529,No Aplica,Claudio Urbano Bittencourt Pinheiro,"PINHEIRO, C. U. B.",Brasilera,Masculino
0000110843,No Aplica,Cristian Mauricio Lasso Benavides,"LASSO BENAVIDES , CRISTIAN MAURICIO",Colombiana,Masculino
0000040972,No Aplica,Demetrio Moya Obispo,"MOYA OBISPO, DEMETRIO",Colombiana,Masculino
0000176441,No Aplica,Diana Lucía Bermúdez Conejo,"BERMÚDEZ CONEJO, DIANA LUCÍA",Colombiana,Femenino
0001050796,No Aplica,Diana Lucina Hincapie Marín,"HINCAPIE MARÍN, DIANA LUCINA",Colombiana,Femenino
0001629196,No Aplica,Dídac Santos Fita,"Santos-Fita, D. y Fita, D.",Extranjero - otra,Masculino
0001259199,No Aplica,Eduard Ladimir Muñoz Erazo,"MUÑOZ ERAZO, EDUARD LADIMIR",Colombiana,Masculino
0001616393,No Aplica,EDUARDO CORONA,"CORONA , EDUARDO",Mexicana,Masculino
0000372560,No Aplica,Edwin Jhovanny Barrera Pineda,"BARRERA PINEDA, EDWIN JHOVANNY",Colombiana,Masculino
0000472140,Investigador Junior ,Efren Muñoz Galindez,"MUÑOZ GALINDEZ, EFREN",Colombiana,Masculino
0000038401,No Aplica,ERALDO MADEIRO COSTA NETO,"COSTA NETO, ERALDO MADEIRO",Brasilera,Masculino
0000012750,No Aplica,Ernesto Hernández Bernal,"HERNÁNDEZ BERNAL, ERNESTO",Colombiana,Masculino
0000012483,No Aplica,Fabio Antonio Cabezas Fajardo,"CABEZAS FAJARDO, FABIO ANTONIO",Colombiana,Masculino
0000335592,Investigador Junior ,Fabiola Eugenia Gonzalez Cuellar,"GONZALEZ CUELLAR, FABIOLA EUGENIA",Colombiana,Femenino
0000545821,No Aplica,Gabriel Antonio DE LA CRUZ APARICIO,"DE LA CRUZ APARICIO, GABRIEL ANTONIO",Colombiana,Masculino
