idgruplac,verificado,tipo,nombre,lugar,fecha,isbn,volumen,paginas,editorial,autores
00000000002726,False,Otro libro publicado,Diario sucio: un viaje por México,Colombia,2018,978-958-56641-1-1,,,Sílaba Editores,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,Qualche Battito,Italia,2018,978-88-97490-32-6,,,Fili d´Aquilone,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,Empy Stone,Estados Unidos,2017,978-1-387-41391-1,,,MediaIsla Editores,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,Piedra vacía,España,2017,978-84-16682-88-1,,,Isla de Siltolá,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,Siega,Colombia,2017,978-99954-1-807-6,,,Plural Editores,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,Qualche Battito,Colombia,2017,978-958-9022-06-1,,,Gamar Editores,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,Algún latido,México,2016,978-607-8437-27-6,,,Valparaíso Ediciones México,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,Cavado (hasta el silencio),España,2016,978-84-16682-19-5,,,No Aplica,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,Miral el aire,Argentina,2016,978-987-1541-93-5,,,El Suri Porfiado,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,Terral,Italia,2015,978-88-97490-13-5,,,Edizioni Fili D´Aquilone,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,La piedad Poesía reunida (2013-1994),Colombia,2015,978-958-732-186-9,,,Editorial Universidad Del Cauca,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,Índice del viento,Ecuador,2014,978-9942-965-16-5,,,El Ángel Editor,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,Horizonte De Perros,Colombia,2005,9586703894,1,90,Universidad del Valle,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,Tarjo,España,2014,978-84-942151-1-7,,,Editorial Monema,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,Terral,Uruguay,2013,978-9974-8392-2-9,,,Yauguru,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,La Piedad,México,2013,978-607-7943-76-1,,,Mantis Editores,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,Piedra vacía,Costa Rica,2013,978-9968-673-46-4,,,Editorial Germinal,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,El Pastor Nocturno,Colombia,2012,978-958-710-818-7,0,80,Departamento de Publicaciones Universidad Externado De Colombia,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,El Pastor Nocturno,República Dominicana,2012,978-9945-473-98-8,0,80,Viento y Borra,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,Los Habitados,Colombia,2011,978-958-98948-7-3,,,Gobernación del Cauca - Bibliteca Bicentenario,JUAN CARLOS PINO CORREA
00000000002726,False,Otro libro publicado,La Vastedad Inconclusa. Lecturas De Poesía Moderna En Popayán,España,2011,978-3-8484-7116-4,0,200,Editoria Académica Española,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,Horizonte De Perros,Colombia,2011,978-958-57044-1-1,0,132,Talleres Editoriales del Departamento del Cauca,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,Horizonte De Perros,Bolivia,2011,978-99954-1-366-8,0,120,Plural Editores,FELIPE ANDRES GARCIA QUINTERO
00000000002726,False,Otro libro publicado,Noche de fusiles,España,2009,978-84-7789-261-8,1800,112,Biblioteca de Autores Manchegos,JUAN CARLOS PINO CORREA
00000000002726,False,Otro libro publicado,Los Habitados,Colombia,2006,9589758452,,90,Ediciones Axis Mundi,JUAN CARLOS PINO CORREA
00000000002192,False,Otro libro publicado,Estadìstica Con Spss,Colombia,2007,978-958-44-1123-5,100,1,Taller Editorial Universidad Del Cauca,"CARLOS ALBERTO GONZALEZ CALLEJAS, JUAN MIGUEL VILLA, MARTHA LUCIA SANCLEMENTE"
00000000002192,False,Otro libro publicado,Evaluaciòn Financiera De Proyectos,Colombia,2007,978-958-44-1575-2,100,1,Taller Editorial Universidad Del Cauca,"CARLOS ALBERTO GONZALEZ CALLEJAS, JUAN MIGUEL VILLA, MARTHA LUCIA SANCLEMENTE"
00000000002192,False,Otro libro publicado,"La Prisión de San Isidro Incidencia Fisica, sicologica y social de la Reclusión",Colombia,2002,958-3323-28-4,1,189,Taller Editorial Universidad Del Cauca,ZAMANDA CORREA CORREA
00000000015570,False,Otro libro publicado,"Prácticas de revitalización del territorio: Educación, Alimentación y Ambiente",Colombia,2018,978-958-56791-0-8,,,Corporación Universitaria Comfacauca Unicomfacauca Editorial,"MABEL CRISTINA CALVACHE MUNOZ, ALEJANDRA MARIA RODRIGUEZ GUARIN, SANDRA FAISULER POTOSI RODRIGUEZ"
00000000002175,False,Otro libro publicado,Complejo de páramos Las Hermosas,Colombia,2016,978-958-732-203-3,,,No Aplica,GUILLERMO ANDRES OSPINA RODRIGUEZ
00000000002175,False,Otro libro publicado,"Estado Plurinacional, Interculturalidad y Derechos de la Naturaleza. Los retos de la Amazonía Ecuatoriana",Ecuador,2015,000-000-000-1,,,Universidad Estatal Amazónica,JAIRO TOCANCIPA FALLA
00000000002175,False,Otro libro publicado,Ecología Histórica: Interacciones Sociedad Ambiente a distintas escalas Sociotemporales,Colombia,2008,978-958-722-001-8,,,No Aplica,GUILLERMO ANDRES OSPINA RODRIGUEZ
00000000002175,False,Libro pedagógico y/o de divulgación,"Construyendo Caminos De Hermandad. Los Delfines, Memorias Del Pac-Chocó",Colombia,2006,958-9777-09-0,1,42,Instituto de Investigaciones Ambietales del Pacifico,LUCIA EUFEMIA MENESES LUCUMI
00000000002175,False,Libro pedagógico y/o de divulgación,Tejiendo La Historia De Un Territorio Sangrado. Cartilla De Memorias Del Pac-Chocó De La Organización Camawa,Colombia,2006,958-97824-3-4,1,74,Instituto de Investigaciones Ambientales del Pacifico,"LUCIA EUFEMIA MENESES LUCUMI, DIANA SILVA"
00000000002175,False,Libro pedagógico y/o de divulgación,Navegando Por Las Venas De Nuestra Madre Tierra En La Region Del Bajo Atrato Choco Memorias Del Pac Choco Camizba,Colombia,2006,958-97824-2-6,1,70,Instituto de Investigaciones Ambientales del Pacifico,"LUCIA EUFEMIA MENESES LUCUMI, CIRO PINEDA ARIZA"
00000000002175,False,Libro pedagógico y/o de divulgación,Autonomia Comunitaria. Memorias I,Colombia,2005,9589777031,1,126,Instituto de Investigaciones Ambientales del Pacifico,"LUCIA EUFEMIA MENESES LUCUMI, VIVIANA OBANDO HURTADO"
00000000002175,False,Libro pedagógico y/o de divulgación,Páramos De Las Cordilleras Central Y Occidental De Colombia. Informe Región Del Grupo De Trabajo En Páramos Centroccidente Gtp-Co,Colombia,2005,958-8094-96-8,1,300,Editorial Feriva,GUILLERMO ANDRES OSPINA RODRIGUEZ
00000000002175,False,Otro libro publicado,¿será que nos estamos lavando por algo?,Colombia,1997,,1,100,Fundación Social,JORGE PRUDENCIO LOZANO BOTACHE
00000000002175,False,Otro libro publicado,Surgimiento y andar territorial del Quintín Lame,Colombia,1996,99782224,1000,102,Abya - Yala,MYRIAM AMPARO ESPINOSA BALLEN
00000000001155,False,Otro libro publicado,Pluralismo Jurídico Y Pueblos Indígenas,México,2005,970-32-2837-2,1,280,Instituto de Investigaciones Juridicas de la UNAM,"JUAN DIEGO CASTRILLON ORREGO, CUBELLS AGUILAR LOLA, PALACIOS ROMEO FRANCISCO J, BAUTISTA CRUZ SUSANA, JOSE ROLANDO ORDONEZ, DOMINGO BARBERA ELIA, GARCIA FONG GUSTAVO, GONZALEZ GALVAN JORGE ALBERTO, NEZ BARTLETT LELIA, CUEVAS GAYOSSO JOSE LUIS, KORSBAEK LEIF, MARROQUIN GUERRA OTTO, ORDONEZ MAZARIEGOS CARLOS SALVADOR"
00000000015570,False,Otro libro publicado,Preparaciones Culinarias Autóctonas del departamento de Cauca_ QUINUA Volumen 1,Colombia,2017,978-958-99756-7-1,,,Corporación Universitaria Comfacauca Unicomfacauca Editorial,"MABEL CRISTINA CALVACHE MUNOZ, ALEJANDRA MARIA RODRIGUEZ GUARIN, SANDRA FAISULER POTOSI RODRIGUEZ"
00000000002175,False,Otro libro publicado,Páramos Protegidos. Alta montaña de la Cordillera Central del Valle del Cauca,Colombia,2018,978-958-8332-91-8,,,Corporacion Autonoma Regional Del Valle Del Cauca Cvc,GUILLERMO ANDRES OSPINA RODRIGUEZ
00000000011867,False,Otro libro publicado,Siega,Colombia,2011,978-958-8504-60-5,0,114,Universidad Industrial De Santander Uis Bucaramanga Sant,FELIPE ANDRES GARCIA QUINTERO
00000000011867,False,Libro pedagógico y/o de divulgación,Memorias del seminario: Cultura y Conciliación Ciudadana,Colombia,1995,,,1,Sin Editar,OLGA PATRICIA SOLIS VALENCIA
00000000000592,False,Libro pedagógico y/o de divulgación,Los Kokonukos enseñan a truequiar - Trueque y semillas,Colombia,2011,,,,Programa Conjunto Integración de Ecosistemas y Adaptación al Cambio Climático en el Macizo Colombiano,LUIS ALFREDO LONDONO VELEZ
00000000000592,False,Otro libro publicado,Biodiversidad Para La Soberania Alimentaria,Colombia,2007,958-9451-31-4,2,75,Universidad del Cauca,"JUAN PABLO PAZ CONCHA, CONSUELO MONTES ROJAS, MARLENY PAZ MAYORGA, SANDRA CORONEL"
00000000000592,False,Otro libro publicado,Normas para la Certificación Forestal Voluntaria de Plantaciojnes Forestales y Bosques Naturales en Colombia bajo el Esquema FSC,Colombia,2003,958-95905-6,1,113,El Bando Creativo,ROMAN OSPINA MONTEALEGRE
00000000002135,False,Otro libro publicado,Manual para la prevención y mejoramiento en la atención del paciente con accidente ofídico,Colombia,2009,978-958-44-5272-6,1,70,Editorial López,SANTIAGO AYERBE GONZALEZ
00000000002936,False,Otro libro publicado,¿Para qué se lee y se escribe en la universidad colombiana? Un aporte a la consolidación de la cultura académica del aís,Colombia,2013,978-958-716-682-6,0,306,Editorial Pontificia Universidad Javeriana,PILAR MIRELY CHOIS LENIS
00000000004650,False,Otro libro publicado,"EMBARAZO, PARTO Y ESTIMULACION",Colombia,2002,,1,136,Universidad del Cauca,"CLARA INES CORDOBA LLANOS, NANCY JANETH MOLANO TOBAR"
00000000007141,False,Otro libro publicado,Periodismo politico en colombia: Antonio Caballero,Colombia,2014,978 958 46 4199-1,,,Gustavo Chamorro,GUSTAVO HERNANDO CHAMORRO HERNANDEZ
00000000007141,False,Libro pedagógico y/o de divulgación,La Hermeneutica Educativa De La Salud Mental,México,2008,9786074130157,500,172,Fondo Editorial Universidad Pedagogica Nacional,LUIS EDUARDO PRIMERO RIVAS
00000000002175,False,Otro libro publicado,Re-pensando la educación ambiental desde las tierras altas del Valle del Cauca,Colombia,2018,978-958-8332-89-5,,,No Aplica,GUILLERMO ANDRES OSPINA RODRIGUEZ
00000000011727,False,Otro libro publicado,El papel de la divina comedia de Dante Alighieri en la consolidación del imaginario occidental,España,2019,57-7281-2019-0,,,EL LIBRO TOTAL,ADRIANA DEL ROCIO HERNANDEZ YASNO
00000000002192,False,Otro libro publicado,Poesía desde la cárcel,Colombia,2001,958-332327-6,1,123,Taller Editorial Universidad Del Cauca,ZAMANDA CORREA CORREA
00000000002157,False,Otro libro publicado,Mantenimiento De Computadores,Colombia,2011,978-958-732-084-8,1100,100,Editorial Universidad Del Cauca,JORGE JAIR MORENO CHAUSTRE
00000000004257,False,Otro libro publicado,Sistema de visión artificial para la identificació del signo de Frank.,Colombia,2018,978-958-56724-5-1,,,Editorial Universidad Del Cauca,"NELSON ADOLFO LOPEZ GARZON, JAIRO ALFONSO VASQUEZ LOPEZ, RUBIEL VARGAS CANAS, ANA MARIA GUEVARA MERA, JOSE MIGUEL ARISTIZABAL TROCHEZ"
00000000002145,False,Otro libro publicado,Biodiversidad Para La Soberania Alimentaria,Colombia,2007,958-9451-31-4,2,75,Universidad del Cauca,"JUAN PABLO PAZ CONCHA, CONSUELO MONTES ROJAS, MARLENY PAZ MAYORGA, SANDRA CORONEL"
00000000002145,False,Otro libro publicado,"Diagnóstico para la implementación del Plan Ambiental Municipal, Municipio de Popayán",Colombia,1993,,100,25,Editorial López,JUAN PABLO PAZ CONCHA
00000000003792,False,Libro pedagógico y/o de divulgación,Patrones de diseño: construyendo aplicaciones flexibles y reutilizables,Colombia,2015,978-958-732-188-3,,,Editorial Universidad Del Cauca,JULIO ARIEL HURTADO ALEGRIA
00000000003792,False,Otro libro publicado,Evaluación Colaborativa de la Usabilidad de aplicaciones de Televisión digital interactiva,Estados Unidos,2013,9780989839303,,,Research and innovation R&I book,"ANDRES SOLANO, CESAR ALBERTO COLLAZOS ORDONEZ, JOSE ARCINIEGAS"
00000000003792,False,Otro libro publicado,Cscw Aplicado A La Mejora De Procesos De Software,Argentina,2012,9789871701537,50,125,elaleph,CESAR ALBERTO COLLAZOS ORDONEZ
00000000003792,False,Otro libro publicado,Calidad De Sistemas De Información,España,2011,978-84-9964-070-9,0,350,Ra-Ma,"FRANCISCO JOSE PINO CORREA, MARIO PIATTINI, FELIX GARCIA"
00000000005361,False,Otro libro publicado,"Actas del Congreso Internacional Virtual USATIC 2019, Ubicuo y Social: Aprendizaje con TIC",España,2019,978-84-1340-029-7,,,PRENSAS DE LA UNIVERSIDAD DE ZARAGOZA,"MANUEL JOSE SANTIAGO PAJAJOYO, LUCY ESMERALDA PAZ TRULLO"
00000000002157,False,Libro pedagógico y/o de divulgación,Apuntes de algoritmia,Colombia,2018,978-958-723-311-5,,,Area de Desarrollo Editorial Universidad del Cauca,ERWIN MEZA VEGA
00000000002157,False,Otro libro publicado,Estructuras de Datos Dinámicas. Una forma fácil de aprender.,España,2017,978-84-9964-721-0,,,Ra-Ma,"CESAR JESUS PARDO CALVACHE, WILSON LIBARDO PANTOJA YEPEZ"
00000000002157,False,Otro libro publicado,Diseño de Interfaces en Aplicaciones Móviles,España,2016,978-84-9964-615-2,,,Ra-Ma,"CESAR JESUS PARDO CALVACHE, JUAN SEBASTIAN SERNA CARDONA"
00000000002157,False,Libro pedagógico y/o de divulgación,Fundamentos de Sistemas Operativos,México,2015,978-607-02-6544-0,,,Universidad Nacional Autonoma de México,"GUNNAR WOLF, ESTEBAN RUIZ, FEDERICO BERGERO, ERWIN MEZA VEGA"
00000000002157,False,Otro libro publicado,Aprendamos A Manejar El Computador,Colombia,2010,978-958-732-023-7,1,169,Ediorial Universidad Del Cauca,JORGE JAIR MORENO CHAUSTRE
00000000007601,False,Otro libro publicado,Liderazgo Político Y Memoria Colectiva. Juan Francisco Lucas Y La Sierra Norte De Puebla,México,2004,9685122733,1,112,Secretaria de Cultura,ANTONIO RIMADA OVIEDO
00000000010829,False,Libro pedagógico y/o de divulgación,"FAUNA DEL JARDÍN BOTÁNICO DE POPAYAN, UN ACERCAMIENTO A NUESTRA BIODIVERSIDAD",Colombia,2020,87-1571-89-3,,,Fundación Universitaria de Popayán,DANIEL ANDRES FERIZ GARCIA
00000000002142,False,Otro libro publicado,"Botánica. Generalidades, Morfología y Anatomía de Plantas Superiores",Colombia,2005,978-958-9475-63-8,100,195,Editorial Universidad Del Cauca,"BERNARDO RAMIRO RAMIREZ PADILLA, ROSA INES GOYES ACOSTA"
00000000002142,False,Libro pedagógico y/o de divulgación,Libro de resumenes III congreso colombiano de botánica,Colombia,2004,,1,405,Universidad del Cauca,"DIEGO JESUS MACIAS PINTO, BERNARDO RAMIRO RAMIREZ PADILLA, GIOVANNI VARONA BALCAZAR"
00000000001995,False,Otro libro publicado,Fisioterapia En La Uci. Teoria Experiencia Y Evidencia 2,Colombia,2012,9789589446676,0,645,Manual moderno,WILLIAM CRISTANCHO GOMEZ
00000000001995,False,Libro pedagógico y/o de divulgación,MANUAL DE FISIOLOGIA ARTICULAR: ARTICULACIONES CENTRALES,Colombia,2012,EN TRAMITE,0,127,Taller Editorial Universidad Del Cauca,ADRIANA GUZMAN VELASCO
00000000012001,False,Libro pedagógico y/o de divulgación,TALLERAMA LITERARIO INFANTIL - 40 técnicas para promover la creación literaria con y para los niños.,Colombia,2017,978-958-48-1966-6,,,No Aplica,MILLER VELOSA SANDOVAL
00000000000316,False,Libro pedagógico y/o de divulgación,Poblazón: Eco de Relatos,Colombia,2018,978-958-59923-5-1,,,Consejo Regional Indigena Del Cauca - CRIC,LEONARDO FABIAN SAAVEDRA SAUCA
00000000000316,False,Otro libro publicado,Conocimiento y manejo básico del computador para Windows 98 y Office 97,Colombia,2008,978-958732-004-6,200,162,Centro De Publicaciones Universidad Del Cauca,LUZ DEL SOL VESGA PARRA
00000000002174,False,Otro libro publicado,Alternativas Y Exploración De Nfc En El Entorno Universitario. Caso De Estudio - Universidad Del Cauca,Estados Unidos,2012,978-0-9833210-4-0,,,Research and Innovation Book,"HECTOR FABIO LAME LOPEZ, ANGELA ROCIO CHANTRE ASTAIZA, MANUEL FERNANDO SALAZAR AVIRAMA, CATALINA IBETH CORDOBA PALADINEZ, GUSTAVO ADOLFO RAMIREZ GONZALEZ"
00000000002174,False,Otro libro publicado,Evaluación De Qr Codes Y Nfc Para Experiencia De Compra En Posibles Entornos Retail. Experiencias Iniciales En La Universidad Del Cauca.,Estados Unidos,2012,978-0-9833210-3-3,,,Research and Innovation Book,"ANGELA ROCIO CHANTRE ASTAIZA, JUAN DAVID BURBANO JIMENEZ, GUSTAVO ADOLFO RAMIREZ GONZALEZ"
00000000007601,False,Otro libro publicado,Nietzsche La Polilla De La Moral,Colombia,2012,978-3659-03804-4,0,136,Editorial Académica Española,ADOLFO ENRIQUE ALVEAR SARAVIA
00000000007601,False,Otro libro publicado,Ironia,Colombia,2010,978-958-44-7693-7,1,100,Impulso gráfico,MARTHA VIVIANA VARGAS GALINDO
00000000002726,False,Otro libro publicado,Las presas por su sombra,Chile,2018,978-956-01-0551-6,,,RIL editores,FELIPE ANDRES GARCIA QUINTERO
00000000000668,False,Libro pedagógico y/o de divulgación,Secrets D Amazonie,Canadá,1996,2551170567,1,80,Musee De La Civilisation,"ELIZABETH TABARES TRUJILLO, MARIACHARLOTTE DE KONINCK, ROBERT CREPAU, ROBERD DAVISON, RODOLPHE DE KONINCK, ANDREE GAUTHIER"
00000000009075,False,Otro libro publicado,Desarrollando Competencias Investigativas,Colombia,2018,978-958-5504-27-1,,,Institución Universitaria CESMAG,MAYERLY ZULAY RUIZ TORRES
00000000002178,False,Libro pedagógico y/o de divulgación,"Anthropology & Health Journal ¿ AHJ, No1.",Colombia,2008,2011-5776,0,150,Syllaba Press (http://www.syllabapress.com),HUGO PORTELA GUARIN
00000000002178,False,Otro libro publicado,Informe final Convenio UNICAUCA-ECOPETROL,Colombia,2002,,300,211,TECNIGRAFICAS,"HUGO PORTELA GUARIN, COMUNIDADES INDIGENAS DEL PUTUMAYO"
00000000009075,False,Libro pedagógico y/o de divulgación,Generaciones increíbles,Colombia,2019,978-958-56316-4-9,,,Fundación Universitaria de Popayán,"HERIBERTO GALEANO TRILLERAS, MARTHA ISABEL LASSO QUINTERO"
00000000009075,False,Libro pedagógico y/o de divulgación,Abriendo Caminos para la Investigación en Nariño,Colombia,2018,978-958-5504-22-6,,,Institución Universitaria CESMAG,"MAYERLY ZULAY RUIZ TORRES, ISABEL CRISTINA CANO ALVAREZ"
00000000009075,False,Libro pedagógico y/o de divulgación,Abriendo Caminos para la Investigación en Nariño,Colombia,2018,978-958-5504-21-9,,,Institución Universitaria CESMAG,"ISABEL CRISTINA CANO ALVAREZ, MAYERLY ZULAY RUIZ TORRES"
00000000009075,False,Libro pedagógico y/o de divulgación,Espacios Extracurriculares para la Formación Investigativa en Nariño,Colombia,2018,978-958-5504-25-7,,,Institución Universitaria CESMAG,"ISABEL CRISTINA CANO ALVAREZ, MAYERLY ZULAY RUIZ TORRES"
00000000009075,False,Libro pedagógico y/o de divulgación,Horizontes Investigativos en Nariño,Colombia,2018,978-958-5504-33-2,,,Institución Universitaria CESMAG,"MAYERLY ZULAY RUIZ TORRES, ISABEL CRISTINA CANO ALVAREZ"
00000000009075,False,Otro libro publicado,Desarrollando Competencias Investigativas,Colombia,2018,978-958-5504-28-8,,,Institución Universitaria CESMAG,MAYERLY ZULAY RUIZ TORRES
00000000009075,False,Libro pedagógico y/o de divulgación,Prospectiva de la Investigación en Nariño,Colombia,2018,978-958-5504-32-5,,,Institución Universitaria CESMAG,"MAYERLY ZULAY RUIZ TORRES, MARIA DEL PILAR AGREDA GUERRERO, ISABEL CRISTINA CANO ALVAREZ, JENNY ALEJANDRA MERA CORDOBA, EMMA DEL PILAR ROJAS VERGARA"
