idcvlac,autores,nombre,lugar,verificado,fecha,editorial,isbn,volumen,paginas,palabras,areas,sectores,capitulo,libro
0001494646,"VANESSA AGREDO DELGADO, PABLO HERNANDO RUIZ MELENJE, CESAR ALBERTO COLLAZOS ORDONEZ",Software Tool to Support the Improvement of the Collaborative Learning Process,Communications in Computer and Information Science,False,2017,"Springer Publishing Company, Inc.","Springer Publishing Company, Inc.",,1 - 15,No Aplica,No Aplica,No Aplica,Software Tool to Support the Improvement of the Collaborative Learning Process,Communications in Computer and Information Science
0001494646,"VANESSA AGREDO DELGADO, PABLO HERNANDO RUIZ MELENJE, CESAR ALBERTO COLLAZOS ORDONEZ",Towards a Framework Definition to Increase Collaboration and Achieve Group Cognition,"Learning and Collaboration Technologies. Design, Development and Technological Innovation",False,2018,"Springer Publishing Company, Inc.","Springer Publishing Company, Inc.",,337 - 349,No Aplica,No Aplica,No Aplica,Towards a Framework Definition to Increase Collaboration and Achieve Group Cognition,"Learning and Collaboration Technologies. Design, Development and Technological Innovation"
0001494646,"VANESSA AGREDO DELGADO, PABLO HERNANDO RUIZ MELENJE, CESAR ALBERTO COLLAZOS ORDONEZ",Structure of a guide for usability evaluation in virtual learning environments,HCI-COLLAB 2019: V Iberoamerican Workshop on Human-Computer Interaction,False,2019,"Springer Publishing Company, Inc.","Springer Publishing Company, Inc.",,356 - 368,No Aplica,No Aplica,No Aplica,Structure of a guide for usability evaluation in virtual learning environments,HCI-COLLAB 2019: V Iberoamerican Workshop on Human-Computer Interaction
0001494646,"VANESSA AGREDO DELGADO, PABLO HERNANDO RUIZ MELENJE, CESAR ALBERTO COLLAZOS ORDONEZ",A reformation proposal of the Process phase in the computer-supported collaborative learning,HCI-COLLAB 2019: V Iberoamerican Workshop on Human-Computer Interaction,False,2019,"Springer Publishing Company, Inc.","Springer Publishing Company, Inc.",,17 - 29,No Aplica,No Aplica,No Aplica,A reformation proposal of the Process phase in the computer-supported collaborative learning,HCI-COLLAB 2019: V Iberoamerican Workshop on Human-Computer Interaction
0001494646,"VANESSA AGREDO DELGADO, PABLO HERNANDO RUIZ MELENJE, CESAR ALBERTO COLLAZOS ORDONEZ",A Usability Evaluation Guide in Virtual Learning Environments,HCI-COLLAB 2019: V Iberoamerican Workshop on Human-Computer Interaction,False,2020,"Springer Publishing Company, Inc.","Springer Publishing Company, Inc.",,143 - 156,No Aplica,No Aplica,No Aplica,A Usability Evaluation Guide in Virtual Learning Environments,HCI-COLLAB 2019: V Iberoamerican Workshop on Human-Computer Interaction
0001368173,ALEX ARMANDO TORRES BERMUDEZ,Aporte Significativo de la plataforma u-CSCL al Aprendizaje: Una Experiencia en la Corporación Universitaria Comfacauca,ENTORNOS UBICUOS Y COLABORATIVOS (U-CSCL) PARA AMBIENTES DE ENSEÑANZA-APRENDIZAJE DE COMPETENCIAS PROFESIONALES,True,2016,Editorial Bonaventuriana,Editorial Bonaventuriana,,161 - 173,No Aplica,No Aplica,No Aplica,Aporte Significativo de la plataforma u-CSCL al Aprendizaje: Una Experiencia en la Corporación Universitaria Comfacauca,ENTORNOS UBICUOS Y COLABORATIVOS (U-CSCL) PARA AMBIENTES DE ENSEÑANZA-APRENDIZAJE DE COMPETENCIAS PROFESIONALES
0001368173,"SILVANA VANESA ACIAR, MAYELA COTO CHOTTO, ALEX ARMANDO TORRES BERMUDEZ, CESAR ALBERTO COLLAZOS ORDONEZ",Plataforma colaborativa y ubica u-CSCL,ENTORNOS UBICUOS Y COLABORATIVOS (U-CSCL) PARA AMBIENTES DE ENSEÑANZA-APRENDIZAJE DE COMPETENCIAS PROFESIONALES,True,2016,Editorial Bonaventuriana,Editorial Bonaventuriana,,51 - 66,No Aplica,No Aplica,No Aplica,Plataforma colaborativa y ubica u-CSCL,ENTORNOS UBICUOS Y COLABORATIVOS (U-CSCL) PARA AMBIENTES DE ENSEÑANZA-APRENDIZAJE DE COMPETENCIAS PROFESIONALES
0001368173,ALEX ARMANDO TORRES BERMUDEZ,Senior Citizens? Training Experience in Secure Electronic Payment Methods,Proceedings of Seventh International Congress on Information and Communication Technology,False,2022,"Springer Publishing Company, Inc.","Springer Publishing Company, Inc.",,409 - 417,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica,Senior Citizens? Training Experience in Secure Electronic Payment Methods,Proceedings of Seventh International Congress on Information and Communication Technology
0001368173,ALEX ARMANDO TORRES BERMUDEZ,Integration of a Virtual Object on Formative Object Oriented Programming for the Emavi Military Aviation School Cadets,Telematics and Computing,False,2022,"Springer Publishing Company, Inc.","Springer Publishing Company, Inc.",,434 - 450 1659,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica,Integration of a Virtual Object on Formative Object Oriented Programming for the Emavi Military Aviation School Cadets,Telematics and Computing
0001368173,ALEX ARMANDO TORRES BERMUDEZ,Senior Citizens? Training Experience in Secure Electronic Payment Methods,Telematics and Computing,False,2022,"Springer Publishing Company, Inc.","Springer Publishing Company, Inc.",,394 - 409 1865-,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica,Senior Citizens? Training Experience in Secure Electronic Payment Methods,Telematics and Computing
0001417846,"ANGELA PATRICIA VILLAREAL FREIRE, ANDRES FELIPE AGUIRRE AGUIRRE, CESAR ALBERTO COLLAZOS ORDONEZ",emovle- an interface design guide-through the design of emotive virtual learning environments,"Design, User Experience, and Usability: Designing Pleasurable Experiences : 6th International Conference, DUXU 2017, Held as Part of HCI International 2017, Vancouver, BC, Canada, July 9-14, 2017, Proceedings, Part II",False,2017,"Springer Publishing Company, Inc.","Springer Publishing Company, Inc.",,142 - 161,No Aplica,No Aplica,No Aplica,emovle- an interface design guide-through the design of emotive virtual learning environments,"Design, User Experience, and Usability: Designing Pleasurable Experiences : 6th International Conference, DUXU 2017, Held as Part of HCI International 2017, Vancouver, BC, Canada, July 9-14, 2017, Proceedings, Part II"
0001417846,"ANDRES FELIPE AGUIRRE AGUIRRE, ANGELA PATRICIA VILLAREAL FREIRE, CESAR ALBERTO COLLAZOS ORDONEZ",emovle- an interface design guide-through the design of emotive virtual learning environments,"LIBRO Design, User Experience, and Usability: Designing Pleasurable Experiences",False,2017,Springer Ny,Springer Ny,,142 - 161,No Aplica,No Aplica,No Aplica,emovle- an interface design guide-through the design of emotive virtual learning environments,"LIBRO Design, User Experience, and Usability: Designing Pleasurable Experiences"
0001361780,"CLARA LUCIA BURBANO GONZALEZ, LILIANA VARGAS AGREDO","APLICACIÓN DE TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN, PARA LA VALORACIÓN DEL PATRIMONIO CULTURAL - POPAYÁN",Memorias Del 1 Encuentro Internacional De Grupos De Investigación,False,2015,Gobernacion Del Cauca,Gobernacion Del Cauca,,218 - 227,No Aplica,No Aplica,No Aplica,"APLICACIÓN DE TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN, PARA LA VALORACIÓN DEL PATRIMONIO CULTURAL - POPAYÁN",Memorias Del 1 Encuentro Internacional De Grupos De Investigación
0001361780,CLARA LUCIA BURBANO GONZALEZ,"Aplicacion de Tecnologias de Objetos de Aprendizaje (TOA), dirigido a la primera infancia y juventud, como aporte a la salvaguardia de las procesiones de Semana Santa, en Popayan Colombia""","Simposio Internacional del Pacifico: Educación, Cultura Emprendimiento y sociedad",False,2016,Editorial REDIPE,Editorial REDIPE,,59 - 64 I,B-Learning;Tecnologías del Aprendizaje y conocimiento ,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,No Aplica,"Aplicacion de Tecnologias de Objetos de Aprendizaje (TOA), dirigido a la primera infancia y juventud, como aporte a la salvaguardia de las procesiones de Semana Santa, en Popayan Colombia""","Simposio Internacional del Pacifico: Educación, Cultura Emprendimiento y sociedad"
0001361780,"CLARA LUCIA BURBANO GONZALEZ, KATERINE MARCELES VILLALBA","Aplicativos moviles en procesos de Aprendizaje, en el área de Seguridad Informática",II Simposio Internacional Pedagogía y construcción de Ámbitos de Educacion. La Función de Educar.,False,2017,Editorial REDIPE,Editorial REDIPE,,25 - 37,Seguridad;Tecnologías del Aprendizaje y conocimiento ;Aprendizaje Colaborativo,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Telecomunicaciones",Desarrollo de programas (software) y prestación de servicios en informática,"Aplicativos moviles en procesos de Aprendizaje, en el área de Seguridad Informática",II Simposio Internacional Pedagogía y construcción de Ámbitos de Educacion. La Función de Educar.
0001361780,"CLARA LUCIA BURBANO GONZALEZ, KATERINE MARCELES VILLALBA, MARIA ISABEL VIDAL CAICEDO",Reflexiones Integradoras en procesos de investigación y el aporte que realiza Colciencias a los Grupos de Investigación en la Educacion Supèrior,Pedagogía y Construcción de Ámbitos de Educación. La Función de Educar.,False,2017,Editorial REDIPE,Editorial REDIPE,,42 - 56,Espacios Virtuales de Enseñanza y Aprendizaje;Mediaticas Educativas,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,Educación,Reflexiones Integradoras en procesos de investigación y el aporte que realiza Colciencias a los Grupos de Investigación en la Educacion Supèrior,Pedagogía y Construcción de Ámbitos de Educación. La Función de Educar.
0001361780,"JULIO RICARDO MARTINEZ MONTEZUMA, CLARA LUCIA BURBANO GONZALEZ","Estudio de Caso: Apropiacion de Entornos personales de Aprendizaje (PLE), en relacion al uso de tecnologias, en la Institución Educativa Técnica Agropecuaria Nuestra Señora de los Remedios de Bolivar Cauca.",Tendencias en educación en y para la diversidad apoyada en las TIC,False,2018,Sello Editorial Tecnologico Comfenalco,Sello Editorial Tecnológico Comfenalco,,85 - 86 1,Dignidad Social;Espacios Virtuales de Enseñanza y Aprendizaje;Mediaticas Educativas;Pedagogia -Didactica - Curriculo,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,Educación,"Estudio de Caso: Apropiacion de Entornos personales de Aprendizaje (PLE), en relacion al uso de tecnologias, en la Institución Educativa Técnica Agropecuaria Nuestra Señora de los Remedios de Bolivar Cauca.",Tendencias en educación en y para la diversidad apoyada en las TIC
0001361780,"CLARA LUCIA BURBANO GONZALEZ, JULIO RICARDO MARTINEZ MONTEZUMA","Estudio de Caso: Ecologías del Aprendizaje, en Relación a la Interacción con entornos Personales de Aprendizaje",Tendencias en educación en y para la diversidad apoyada en las TIC,False,2018,Sello Editorial Tecnologico Comfenalco,Sello Editorial Tecnológico Comfenalco,,91 - 92 1,Pedagogia -Didactica - Curriculo;Espacios Virtuales de Enseñanza y Aprendizaje;B-Learning;Recursos de Informacion y comunicacion RIC;Sociedad del conocimiento,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,Educación,"Estudio de Caso: Ecologías del Aprendizaje, en Relación a la Interacción con entornos Personales de Aprendizaje",Tendencias en educación en y para la diversidad apoyada en las TIC
0001361780,"LEANDRO FLOREZ ARISTIZABAL, CLARA LUCIA BURBANO GONZALEZ",Towards a Computer-Supported Collaborative Learning Approach for an Object-Oriented Programming Course,Advances in Intelligent Systems and Computing,False,2021,"Springer Publishing Company, Inc.","Springer Publishing Company, Inc.",,163 - 172,Aprendizaje Colaborativo;Espacios Virtuales de Enseñanza y Aprendizaje;La técnica ;Juegos Serios;Mediaticas Educativas,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,No Aplica,Towards a Computer-Supported Collaborative Learning Approach for an Object-Oriented Programming Course,Advances in intelligent systems and computing
0001361780,CLARA LUCIA BURBANO GONZALEZ,"Integration of Rural and Urban Training in Teachers, Students and Older Adults in Computer Security Mediated by Technology.",Telematics and Computing,False,2021,Springer,Springer,,35 - 61,Human - computer Interaction (HCI);Learning ;Espacios Virtuales de Enseñanza y Aprendizaje;Seguridad;Tecnologías de la Información y comunicacio ;Seguridad Informatica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Telecomunicaciones",No Aplica,"Integration of Rural and Urban Training in Teachers, Students and Older Adults in Computer Security Mediated by Technology.",Telematics and Computing
0001361780,CLARA LUCIA BURBANO GONZALEZ,"Aplicacion de Tecnologias de objeto de Aprendizaje (TOA), dirigido a la primera infancia y juventud, como aporte a la Salvaguardia de las procesiones de semana santa",Las Instituciones Educativas: Eslabones Vitales.,True,2016,REDIPE,REDIPE,,54 - 60,No Aplica,No Aplica,No Aplica,"Aplicacion de Tecnologias de objeto de Aprendizaje (TOA), dirigido a la primera infancia y juventud, como aporte a la Salvaguardia de las procesiones de semana santa",Las Instituciones Educativas: Eslabones Vitales.
0001361780,"CLARA LUCIA BURBANO GONZALEZ, DIANA CAROLINA BURBANO GONZALEZ, KATERINE MARCELES VILLALBA","Tecnologias del Aprendizaje y conocimiento (TAC), por medio de la Modalidad B-Learning, para el desarrollo, de un OVA; como aporte a la Sociedad del Conocimeinto",Las Instituciones Educativas: Eslabones Vitales.,True,2015,REDIPE,REDIPE,,337 - 353 1,Espacios Virtuales de Enseñanza y Aprendizaje;B-Learning;Tecnologías de la Información y comunicacio ;Tecnologías del Aprendizaje y conocimiento ;Recursos de Informacion y comunicacion RIC,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,Educación,"Tecnologias del Aprendizaje y conocimiento (TAC), por medio de la Modalidad B-Learning, para el desarrollo, de un OVA; como aporte a la Sociedad del Conocimeinto",Las Instituciones Educativas: Eslabones Vitales.
0001361780,CLARA LUCIA BURBANO GONZALEZ,La influencia de las TIC en la educación superior un apoyo en el proceso de enseñanza aprendizaje,Las Instituciones Educativas: Eslabones Vitales.,True,2015,REDIPE,REDIPE,,262 - 288 1,No Aplica,No Aplica,No Aplica,La influencia de las TIC en la educación superior un apoyo en el proceso de enseñanza aprendizaje,Las Instituciones Educativas: Eslabones Vitales.
0001361780,"CLARA LUCIA BURBANO GONZALEZ, ALEX ARMANDO TORRES BERMUDEZ, MIGUEL ANGEL CASTILLO LEIVA",Senior Citizens? Training Experience in Secure Electronic Payment Methods,Proceedings of Seventh International Congress on Information and Communication Technology,False,2022,Springer,Springer,,409 - 417,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica,Senior Citizens? Training Experience in Secure Electronic Payment Methods,Proceedings of Seventh International Congress on Information and Communication Technology
0001361780,"ALEX ARMANDO TORRES BERMUDEZ, CLARA LUCIA BURBANO GONZALEZ",Integration of a Virtual Object on Formative Object Oriented Programming for the Emavi Military Aviation School Cadets,Telematics and Computing,False,2022,Springer,Springer,,434 - 450,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica,Integration of a Virtual Object on Formative Object Oriented Programming for the Emavi Military Aviation School Cadets,Telematics and Computing
0001462299,"EVER GREGORIO MARTINEZ ROMERO, INGRID JURANI GONZALEZ ESCUE, LIMBANIA ROCIO SALINAS CAMPO",EVALUACIÓN DEL TÉ DE VERMICOMPOST DE LOMBRIZ ROJA CALIFORNIANA (Eisenia foetida) EN EL CULTIVO DE CAFÉ (Coffea arabica) VARIEDAD CASTILLO,"Dirección, Gestión, Liderazgo y Política Educativa",True,2017,Editorial Redipe- Red de Pedagogía SAS,Editorial Redipe- Red de Pedagogía SAS,,171 - 174,Abono orgánico;Cultivo de Café;Té de Vermicompost,Ciencias Agrícolas;Biotecnología Agrícola;Biotecnología Agrícola y de Alimentos,"Agricultura, pecuaria, silvicultura, explotación forestal",EVALUACIÓN DEL TÉ DE VERMICOMPOST DE LOMBRIZ ROJA CALIFORNIANA (Eisenia foetida) EN EL CULTIVO DE CAFÉ (Coffea arabica) VARIEDAD CASTILLO,"Dirección, Gestión, Liderazgo y Política Educativa"
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,"Recomendaciones para el diseño e implementación de aplicaciones web accesibles, teniendo en cuenta la norma NTC 5854",Investigación Formativa en Ingeniería,False,2017,Instituto Antioqueño de Investigación,Instituto Antioqueño de Investigación,,308 - 317,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica",No Aplica,"Recomendaciones para el diseño e implementación de aplicaciones web accesibles, teniendo en cuenta la norma NTC 5854",Investigación Formativa en Ingeniería
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,Propuesta de un juego serio para la enseñanza-aprendizaje de la física cinemática en educación media,Memorias Encuentro Internacional de Educación en Ingeniería - ACOFI 2017,False,2017,Acofi Asociacion Colombiana De Facultades De Ing,Acofi Asociacion Colombiana De Facultades De Ing,,167 - 176,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica,Propuesta de un juego serio para la enseñanza-aprendizaje de la física cinemática en educación media,Memorias Encuentro Internacional de Educación en Ingeniería - ACOFI 2017
0001353314,"GABRIEL ELIAS CHANCHI GOLONDRINO, DIEGO FABIAN DURAN DORADO, JOSE LUIS ARCINIEGAS HERRERA",A Semantic Recommender System for iDTV Based on Educational Competencies,Applications and Usability of Interactive TV,True,2017,"Springer Publishing Company, Inc.","Springer Publishing Company, Inc.",,47 - 61,educational competency;metadata;Recommender system ;Semantics ;Interactive digital television,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica,A Semantic Recommender System for iDTV Based on Educational Competencies,Applications and Usability of Interactive TV
0001353314,"GABRIEL ELIAS CHANCHI GOLONDRINO, CLAUDIA PATRICIA MUNOZ GUERRERO",EXPERIENCIAS ACADÉMICAS EN LA FACULTAD DE INGENIERÍA DE LA INSTITUCIÓN UNIVERSITARIA COLEGIO MAYOR DEL CAUCA,Memorias Encuentro Internacional de Educación en Ingeniería,False,2015,Acofi Asociacion Colombiana De Facultades De Ing,Acofi Asociacion Colombiana De Facultades De Ing,,66 - 66,aprendizaje por proyectos;experiencias académicas;comunidad académica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica,EXPERIENCIAS ACADÉMICAS EN LA FACULTAD DE INGENIERÍA DE LA INSTITUCIÓN UNIVERSITARIA COLEGIO MAYOR DEL CAUCA,Memorias Encuentro Internacional de Educación en Ingeniería
0001353314,"GABRIEL ELIAS CHANCHI GOLONDRINO, MARIA ISABEL VIDAL CAICEDO","CODIFICADOS, UN ESCENARIO DE GAMIFICACIÓN PARA EL APOYO A PROCESOS DE ENSEÑANZA-APRENDIZAJE DE PROGRAMACIÓN",Memorias Encuentro Internacional de Educación en Ingeniería 2016,False,2016,Acofi Asociacion Colombiana De Facultades De Ing,Acofi Asociacion Colombiana De Facultades De Ing,,118 - 118,escenario de gamificación;lenguaje lpp;programación,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica,"CODIFICADOS, UN ESCENARIO DE GAMIFICACIÓN PARA EL APOYO A PROCESOS DE ENSEÑANZA-APRENDIZAJE DE PROGRAMACIÓN",Memorias Encuentro Internacional de Educación en Ingeniería 2016
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,Improve Accessibility and Visibility of Selected University Websites,Advances in Human Factors and Systems Interaction,False,2020,Springer Verlag Publishing Company,Springer Verlag Publishing Company,,229 - 235,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica,Improve Accessibility and Visibility of Selected University Websites,Advances in Human Factors and Systems Interaction
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,Proposal of an open hardware-software system for the recognition of emotions from physiological variables,"Human Computer Interaction - 5th Iberoamerican Workshop, HCI-Collab 2018",False,2018,Springer Verlag Publishing Company,Springer Verlag Publishing Company,,199 - 213,No Aplica,No Aplica,No Aplica,Proposal of an open hardware-software system for the recognition of emotions from physiological variables,"Human Computer Interaction - 5th Iberoamerican Workshop, HCI-Collab 2018"
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,Diseño de un modelo para la construcción de juegos serios aplicados a la enseñanza-aprendizaje de física cinemática en educación media,Innovación educativa en Iberoamérica,False,2020,Editorial Pontificia Bolivariana,Editorial Pontificia Bolivariana,,83 - 107,No Aplica,No Aplica,No Aplica,Diseño de un modelo para la construcción de juegos serios aplicados a la enseñanza-aprendizaje de física cinemática en educación media,Innovación educativa en Iberoamérica
0001353314,"WILMAR YESID CAMPO MUNOZ, GABRIEL ELIAS CHANCHI GOLONDRINO",Automation of usability inspections for websites,"Human Computer Interaction - 5th Iberoamerican Workshop, HCI-Collab 2019",False,2019,Springer Verlag Publishing Company,Springer Verlag Publishing Company,,124 - 137,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica,Automation of usability inspections for websites,"Human Computer Interaction - 5th Iberoamerican Workshop, HCI-Collab 2019"
0001353314,"GABRIEL ELIAS CHANCHI GOLONDRINO, DARLY MILDRED DELGADO AGUDELO, DIEGO FERNANDO GIRON TIMANA, KATERINE MARCELES VILLALBA","Análisis de la satisfacción en pruebas de usabilidad, a partir de la expresión facial",Ciencias Computacionales - Memorias 13CCC,False,2019,Ediciones Universidad Tecnologica de Bolivar,Ediciones Universidad Tecnologica de Bolivar,,203 - 218,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica,"Análisis de la satisfacción en pruebas de usabilidad, a partir de la expresión facial",Ciencias Computacionales - Memorias 13CCC
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,Capítulo 3: Recomendaciones de usabilidad para el diseño de sitios web dirigidos a la población infantil,"Ingenieria, Tecnología y automatización: Innovacion y desarrollo",False,2019,Corporación CIMTED,Corporación CIMTED,,38 - 53,No Aplica,No Aplica,No Aplica,Capítulo 3: Recomendaciones de usabilidad para el diseño de sitios web dirigidos a la población infantil,"Ingenieria, Tecnología y automatización: Innovacion y desarrollo"
0001353314,"WILMAR YESID CAMPO MUNOZ, GABRIEL ELIAS CHANCHI GOLONDRINO",Escenario IoT para el soporte de agricultura de precisión,Ciencias Computacionales - Memorias 13CCC,False,2019,Ediciones Universidad Tecnologica de Bolivar,Ediciones Universidad Tecnologica de Bolivar,,383 - 392,No Aplica,No Aplica,No Aplica,Escenario IoT para el soporte de agricultura de precisión,Ciencias Computacionales - Memorias 13CCC
