idgruplac,verificado,tipo,capitulo,lugar,fecha,libro,isbn,volumen,paginas,editorial,autores
00000000003212,True,Capítulo de libro,La presencia de la lingüística en el Departamento de Antropología,Colombia,2016,Historia de la Antropología en el Cauca,978-958-732-209-5,,201 - 222,Editorial Universidad Del Cauca,TULIO ENRIQUE ROJAS CURIEUX
00000000010589,True,Capítulo de libro,Preventive Conservation of Monuments Based on DELPHI Method and Fuzzy Logic,Italia,2019,RESILIENCE AND SUSTAINABILITY OF CITIES IN HAZARDOUS ENVIRONMENTS,978-88-903183-1-3,,177 - 181,GVES Napoli ¿ New York,"MARIA ISABEL TURBAY VARONA, PILAR ORTIZ CALDERON, DANIEL CAGIGAS MUNIZ, JUAN MANUEL MACIAS BERNAL, ANA MARIA TIRADO, MARIA ANGELES GARRIDO VIZUETE, JULIA BENITEZ, ROCIO ORTIZ CALDERON"
00000000003212,True,Capítulo de libro,Confluencias: una propuesta para analizar los procesos de revitalización lingüística desde la experiencia,Ecuador,2019,Lenguas en contacto : desafíos en la diversidad,978-9978-77-422-9-,,395 - 444,Centro de Publicaciones Pontificia Universidad Católica del Ecuador,"ESTEBAN DIAZ MONTENEGRO, GENY KATERINE GONZALES CASTANO, TULIO ROJAS CURIEUX"
00000000007601,True,Capítulo de libro,"TOMA GUERRILLERA DEL MUNICIPIO DE NARIÑO ANTIOQUIA, EL DÍA 30 DE JULIO DE 1999",Colombia,2018,CASOS EMBLEMÁTICOS DE LA POLICÍA NACIONAL 2015 - 2016.,978-958-59955-1-2,,70 - 75,Imprenta Nacional de Colombia,HECTOR BETANCUR GIRALDO
00000000007601,True,Capítulo de libro,"ATENTADO TERRORISTA EN EL MUNICIPIO EN EL MUNICIPIO DE SAN ANDRÉS DE CUERQUIA (ANT), RELATO DE UN SOBREVIVIENTE",Colombia,2018,CASOS EMBLEMÁTICOS DE LA POLICÍA NACIONAL 2015 - 2016.,978-958-59955-1-2,,219 - 225,Imprenta Nacional de Colombia,HECTOR BETANCUR GIRALDO
00000000010589,True,Capítulo de libro,"Tecnologias del Aprendizaje y conocimiento (TAC), por medio de la Modalidad B-Learning, para el desarrollo, de un OVA; como aporte a la Sociedad del Conocimeinto",Colombia,2015,Las Instituciones Educativas: Eslabones Vitales.,978-958-59087-3-4,,337 - 353,REDIPE,"CLARA LUCIA BURBANO GONZALEZ, DIANA CAROLINA BURBANO GONZALEZ, KATERINE MARCELES VILLALBA"
00000000010589,True,Capítulo de libro,"Aplicacion de Tecnologias de objeto de Aprendizaje (TOA), dirigido a la primera infancia y juventud, como aporte a la Salvaguardia de las procesiones de semana santa",Colombia,2016,Las Instituciones Educativas: Eslabones Vitales.,978-958-59087-3-4,,54 - 60,REDIPE,CLARA LUCIA BURBANO GONZALEZ
00000000006505,True,Capítulo de libro,Proposed application of testing based on BS 7925-2 standard for degree projects focused on development software,Colombia,2014,2012 7th Colombian Computing Congress (Ccc),978-1-4673-1476-3,,121 - 127,IEEE Publications,"JHONATAN ALVAREZ CAICEDO, MARTA CECILIA CAMACHO OJEDA"
00000000002127,True,Capítulo de libro,Técnicas instrumentales de caracterización de polímeros,Colombia,2019,Polimeros: Generalidades y Tendecias en Investigación en Colombia,978-958-732-349-8,,27 - 56,Editorial Universidad Del Cauca,"GERMAN CUERVO OCHOA, TANIA MILENA GUTIERREZ VALENCIA, DIANA MARIA CHITO TRUJILLO"
00000000003212,True,Capítulo de libro,Confluencias: una propuesta para analizar los procesos de revitalización lingüística desde la experiencia,Ecuador,2019,Lenguas en contacto: desafíos en la diversidad,978-9978-77-422-9,,373 - 395,Pontificia Universidad Católica del Ecuador,"GENY KATERINE GONZALES CASTANO, TULIO ROJAS, ESTEBAN DIAZ MONTENEGRO"
00000000010589,True,Capítulo de libro,"Vulnerability, Digital Image Analysis and 3D-Documentation Applied to the Study of Building Resilience",Italia,2019,RESILIENCE AND SUSTAINABILITY OF CITIES IN HAZARDOUS ENVIRONMENTS,978-88-903183-1-3,,332 - 335,GVES Napoli ¿ New York,"JULIA BENITEZ, MARIA ISABEL TURBAY VARONA, PILAR ORTIZ CALDERON, ROCIO ORTIZ CALDERON"
00000000006505,True,Capítulo de libro,JUEGOS SERIOS PARA EL APOYO DE CURSOS DE PROGRAMACION EN INGENIERIA,Colombia,2016,Encuentro Internacional de facultades de Ingeniería ACOFI : Innovación en las Facultades de Ingeniería ,978-958-680-079-2,,1 - 9,Opciones Gráficas Editores Ltda.,"MARIA ISABEL VIDAL CAICEDO, MARTA CECILIA CAMACHO OJEDA, GABRIEL ELIAS CHANCHI GOLONDRINO"
00000000003212,True,Capítulo de libro,"Interculturalidades en disputa. Ideología y educación intercultural en Ecuador, Brasil y Colombia",Colombia,2018,Diálogos interculturales latinoamericanos Hacia una educación superior intercultural,-978-958-5415-13-3,,209 - 226,Editorial Bonaventuriana,GENY KATERINE GONZALES CASTANO
00000000010589,True,Capítulo de libro,"REFLEXIONES PARA LA CONSTRUCCIÓN DE RESILIENCIA TERRITORIAL, A TRAVÉS DEL DISEÑO DE VIVIENDA SOCIAL EN EL POSCONFLICTO. Popayán-Colombia",España,2018,ARQUITECTURA Y CONOCIMIENTO,9788498807615,,1 - 10,UNIVERSIDAD POLITÉCNICA DE CATALUNYA,LILIANA VARGAS AGREDO
00000000006505,True,Capítulo de libro,A Semantic Recommender System for iDTV Based on Educational Competencies,Colombia,2017,Applications and Usability of Interactive TV,978-3-319-63320-6,,47 - 61,"Springer Publishing Company, Inc.","GABRIEL ELIAS CHANCHI GOLONDRINO, DIEGO FABIAN DURAN DORADO, JOSE LUIS ARCINIEGAS HERRERA"
00000000003212,True,Capítulo de libro,Nosotros teníamos que ser diferentes. Apuntes para la reflexión sobre el alfabeto de la lengua nam trik,Colombia,2017,Corpus lingüísticos. Estudio y aplicación en revitalización de lenguas,978-958-732-242-2,,101 - 127,Editorial Universidad Del Cauca,GENY KATERINE GONZALES CASTANO
00000000003212,True,Capítulo de libro,Análisis y adaptación de corpus lingüísticos para la creación de recursos didácticos,Colombia,2017,Corpus lingüísticos. Estudio y aplicación en revitalización de lenguas,978-958-732-242-2,,61 - 100,Editorial Universidad Del Cauca,ESTEBAN DIAZ MONTENEGRO
00000000015873,True,Capítulo de libro,La práctica pedagógica: un espacio de formación para futuros formadores,Colombia,2020,Perspectivas de la Enseñanza en Educación Infantil,978-958-5583-87-0,,164 - 183,Editorial Universidad Santiago de Cali,INGRID SELENE TORRES ROJAS
00000000015873,True,Capítulo de libro,Una perspectiva pedagógica del emprendimiento,Colombia,2020,"Construcciones, aportes y elaboraciones en educación infantil",978-958-5583-56-6,,129 - 160,Universidad Santiago de Cali,INGRID SELENE TORRES ROJAS
00000000003792,True,Capítulo de libro,A Systematic Mapping Review of All-Learning Model of Integration of Educational Methodologies in the ICT,Portugal,2017,Recent Advances in Information Systems and Technologies,978-3-319-56538-5,,897 - 907,Springer International Publishing,"GABRIEL MAURICIO RAMIREZ VILLEGAS, CESAR ALBERTO COLLAZOS ORDONEZ"
00000000011727,True,Capítulo de libro,"Invisibilización de los desplazados mexicanos, la violencia disfrazada de migración",Colombia,2019,MANIFESTACIONES POLÍTICAS DESDE LA MOVILIZACIÓN Y LOS ESPACIOS SIMBÓLICOS DE PODER CULTURAL,978-958-5522-95-4,,209 - 232,Usc Universidad Santiago De Cali Editorial,KELLY GIOVANNA MUNOZ BALCAZAR
00000000003625,True,Capítulo de libro,Priorización de Variables para el Sistema Regional de CTI,Colombia,2013,Cociencia Cauca: Plan Estartégico Departamental De Ciencia Tecnología E Innovación,978-958-57044-8-0,,141 - 156,Universidad del Cauca,OMAIRA CALVO GIRALDO
00000000011727,True,Capítulo de libro,"Imaginarios sociales de originarios y avecindados en Santa Cruz Acalpixca, Xochimilco. Confrontaciones y discriminación en un territorio pluricultural",Colombia,2020,Imaginarios sociales. Cuatro aproximaciones desde las identidades y los espacios.,9789585583641,,37 - 60,Usc Universidad Santiago De Cali Editorial,KELLY GIOVANNA MUNOZ BALCAZAR
00000000011727,True,Capítulo de libro,Las mujeres del Naya: Superación a una radiografía del miedo después de la masacre,Colombia,2020,"Se repara el plan de vida pero no el corazón. Memorias de violencia, éxodo y reconstrucción comunitaria de las victimas de la masacre de el Naya.",978-958-5583-38-2,,13 - 52,Usc Universidad Santiago De Cali Editorial,NATALIA CORDOBA CLAROS
00000000003625,True,Capítulo de libro,"CAPÍTULO 2. CARACTERIZACIÓN DEL CAUCA Y DIAGNÓSTICO DE LA CTI: CAUCA, TERRITORIO BIODIVERSO, PLURIÉTNICO Y MULTICULTURAL EN PERMANENTE EVOLUCIÓN",Colombia,2013,Cociencia Cauca: Plan Estartégico Departamental De Ciencia Tecnología E Innovación,978-958-57044-8-0,,61 - 189,Universidad del Cauca,"DEYCY JANETH SANCHEZ PRECIADO, ADOLFO PLAZAS TENORIO, APOLINAR FIGUEROA CASAS, WILFRED FABIAN RIVERA MARTINEZ, YURI YOHANA CASTILLO MOLINA, OMAIRA CALVO GIRALDO, CESAR GOMEZ, LUZ STELLA PEMBERTHY GALLO"
00000000001162,True,Capítulo de libro,La diferencia económico/cultural como horizonte de esperanza e inteligibilidad,Colombia,2017,"Desarrollo y Calidad de Vida. Observaciones, aprendizajes y apuntes desde y hacia una nueva Colombia",978-958-48-1054-0,,109 - 144,Fundación para la Investigación y la Cultura,OLVER BOLIVAR QUIJANO VALENCIA
00000000003625,True,Capítulo de libro,Innovación social y desarrollo local: experiencias significativas en el departamento del Cauca,Colombia,2013,Universidad-Empresaestado: Hacia la cultura de la investigación y la innovación,978-958-760-016-2,,191 - 209,Ediciones Universidad Cooperativa de Colombia,"YURY YOHANA CASTILLO MOLINA, OMAIRA CALVO GIRALDO, CESAR AUGUSTO GOMEZ VILLAMARIN"
00000000001162,True,Capítulo de libro,Educación e interculturalidad,Colombia,2019,Innovación social y saberes en diálogo,978-958-732-351-1,,45 - 66,Universidad del Cauca,OLVER BOLIVAR QUIJANO VALENCIA
00000000001162,True,Capítulo de libro,Minga: ecosìmias/Econòmias,Colombia,2019,Saberes y pràcticas para el buen vivir,978-958-732-372-6,,101 - 104,Universidad del Cauca,OLVER BOLIVAR QUIJANO VALENCIA
