idgruplac,verificado,tipo,nombre,lugar,fecha,isbn,editorial,autores
00000000001162,True,Libro resultado de investigación,Pandemia al sur,Argentina,2020,978-987-8331-65-2,Prometeo editorial,OLVER BOLIVAR QUIJANO VALENCIA
00000000001162,True,Libro resultado de investigación,"Empresa, estrategia y desarrollo: entronques, problematizaciones y experimentaciones teóricas",España,2018,978-620-2-12645-8,Editorial Académica Española,"DIEGO CACERES BARAJAS, JUAN MANUEL AREVALO VIVEROS"
00000000001162,True,Libro resultado de investigación,Ecosimías. Visiones y prácticas de diferencia económico/cultural en contextos de multiplicidad,Colombia,2016,9789587322316,Editorial Universidad Del Cauca,OLVER BOLIVAR QUIJANO VALENCIA
00000000002192,True,Libro resultado de investigación,Territorios Del Saber. Discursos Y Prácticas Del Desarrollo Globalocal,Colombia,2006,978-958-9451-18-2,Universidad del Cauca,BERNARDO JAVIER TOBAR QUITIAQUEZ
00000000008155,True,Libro resultado de investigación,Reflexiones para Educar en Ciencias,Colombia,2016,978-958-732-221-7,Editorial Universidad Del Cauca,MIGUEL HUGO CORCHUELO MORA
00000000008155,True,Libro resultado de investigación,Obtención de recubrimientos de CeO2,Alemania,2017,978-3-659-65677-4,Editorial Académica Española,JORGE ENRIQUE RODRIGUEZ PAEZ
00000000002174,True,Libro resultado de investigación,Fundamentos para la planificación y el despliegue de una política pública de turismo,Colombia,2017,978-958-732-255-2,Universidad del Cauca,ANDRES JOSE CASTRILLON MUNOZ
00000000008155,True,Libro resultado de investigación,MenTES Mejoramiento en el Tránsito a la Educación Superior,Colombia,2017,978-958-732-253-8,Editorial Universidad Del Cauca,MIGUEL HUGO CORCHUELO MORA
00000000015873,True,Libro resultado de investigación,Análisis de los factores de éxito y fracaso en la cadena productiva de la quinua en el Cauca,Colombia,2020,978-958-8614-41-0,Sello editorial Uniautonóma 2020,GEHOVELL JULIANA VIDAL PINILLA
00000000015873,True,Libro resultado de investigación,"Violencias de género. Magnitudes, intervenciones públicas y otras metodologías para la participación de las mujeres",Colombia,2020,978-958-8614-38-0,Corporación Universitaria Autónoma del Cauca,"WILLIAM DARIO CHARA ORDONEZ, GILDARDO VANEGAS MUNOZ, JOHN ALEXANDER CASTILLO GARCES"
00000000015873,True,Libro resultado de investigación,Redes de solidaridad y organizaciones en contextos de diversidad,Brasil,2020,9786587396200,Editora Artemis,"LINA JULIANA ROBAYO CORAL, WILSON NOE GARCES AGUILAR"
00000000015873,True,Libro resultado de investigación,"La Medición de Calidad de la Democracia, un Análisis desde la Perspectiva de la Democracia Sustancial y Procedimental en América Latina",Colombia,2020,978-958-8614-37-3,Sello editorial Uniautónoma del Cauca,JULIAN DAVID GUACHETA TORRES
00000000015873,True,Libro resultado de investigación,Una batalla en el silencio,Colombia,2019,978-958-791-051-3,Ediciones Jurídicas Gustavo Ibáñez (Bogotá),"ANA CALIXTA REYES ANGARITA, IVONNE PAMELA HERNANDEZ VILLAMIZAR"
00000000015873,True,Libro resultado de investigación,Tiempos de crisis sistémica: el capitalismo contemporáneo,Colombia,2018,978-958-732-333-7,Editorial Universidad Del Cauca,WILLIAM BERNARDO MACIAS OROZCO
00000000015873,True,Libro resultado de investigación,Didácticas para formar emprendedores,Colombia,2017,978-958-732-264-4,Universidad del Cauca,"ELIZABETH TORO CHALA, SAUL JESUS PULIDO, MARTHA ACOSTA RANGEL"
00000000015873,True,Libro resultado de investigación,Configuraciones de un horizonte de sentido sobre la cotidianidad de la infancia,Colombia,2017,978-958-5415-09-6,Editorial Bonaventuriana,"PAULA ANDREA MORA PEDREROS, ANA MARIA ARAGON HOLGUIN, DEISY LILIANA CUARTAS MONTERO, ANA MILENA MARULANDA NAVIA"
00000000007601,True,Libro resultado de investigación,Palabra y letra del pueblo Awá: Hermenéuticas indígenas mapeadas por software Dígalo,España,2016,978-3639781625,Editorial Académica Española,"PAULA ANDREA MORA PEDREROS, MANUEL JOSE SANTIAGO PAJAJOYO"
00000000003212,True,Libro resultado de investigación,"Universidad, Derechos, Ciudadanías Y Pueblos Indígenas",Colombia,2015,978-958-732-179-1,Editorial Universidad Del Cauca,"TULIO ENRIQUE ROJAS CURIEUX, GENY GONZALES CASTANO, ESTEBAN DIAZ MONTENEGRO, LILIA TRIVINO"
00000000005369,True,Libro resultado de investigación,"Dinámicas de comunicación, uso y apropiación de una página web: El caso de la Asociación de Cabildos Indígenas del Norte del Cauca",Colombia,2017,978-958-732-247-7,Editorial Universidad Del Cauca,PAULO PAZ RAMOS
00000000005369,True,Libro resultado de investigación,Representaciones sociales del territorio en tres medios impresos de ciudades intermedias,Colombia,2017,978-958-8932-17-0,Universidad del Tolima,PAULO PAZ RAMOS
00000000005369,True,Libro resultado de investigación,Opacidades Mediáticas Y Conflicto En La Universidad Pública. Dos Estudios De Caso,Colombia,2011,978-958-99756-1-9,Litografía San José,"HERNAN RODRIGUEZ URIBE, DIEGO FERNANDO CHAVEZ NARVAEZ"
00000000006175,True,Libro resultado de investigación,Catálogo Fotográfico De Especies De Flora Apícola En Los Departamentos De Cauca,Colombia,2012,978-958-8343-68-6,Editorial Instituto Alexander von Humboldt,BLANCA LILIA BONILLA PAZ
00000000006175,True,Libro resultado de investigación,"Compendio De Calendarios Florales Apícolas Del Cauca, Huila Y Bolivar",Colombia,2012,978-958-8343-69-3,Editorial Instituto Alexander von Humboldt,BLANCA LILIA BONILLA PAZ
00000000006175,True,Libro resultado de investigación,"Flora Apícola: Determinación De La Oferta Floral Apícola Como Mecanismo Para Optimizar Producción, Diferenciar Productos De La Colmena Y Mejorar La Competitividad",Colombia,2012,978-958-8343-67-9,Editorial Instituto Alexander von Humboldt,BLANCA LILIA BONILLA PAZ
00000000006505,True,Libro resultado de investigación,Ecosistema virtual gamificado de Francisco José de Caldas,España,2020,978-620-2-81105-7,Editorial Académica Española,"ELEONORA PALTA VELASCO, KATERINE MARCELES VILLALBA, MARIA ISABEL VIDAL CAICEDO, FREDY ALONSO VIDAL ALEGRIA, JORGE LUIS LONDONO LERMA"
00000000006505,True,Libro resultado de investigación,Aminorar una brecha comunicacional con Beeth-Eart: Una herramienta inclusiva para personas sordas,Colombia,2020,978-6200410139,Editorial Académica Española,"JUAN JOSE CAIZA NARVAEZ, KATERINE MARCELES VILLALBA"
00000000006505,True,Libro resultado de investigación,Protección de datos anónima y portable,Colombia,2020,978-620-0-39324-1,Editorial Académica Española,"KATERINE MARCELES VILLALBA, SILER AMADOR DONADO, MARIA ALEJANDRA ZUNIGA GARZON"
00000000006505,True,Libro resultado de investigación,Smart Drip System: Un Sistema de Riego Autónomo Propuesta de un sistema de riego automatizado con IoT,Colombia,2020,6200392676,EDITORIAL ACADEMICA ESPAÑOLA,"MARIA ISABEL VIDAL CAICEDO, ELEONORA PALTA VELASCO, KATERINE MARCELES VILLALBA"
00000000003212,True,Libro resultado de investigación,Ewa: Comunidad Virtual De Apoyo A Los Proceso De Etnoeducación Nasa. Puutxwe'Wna Dxi'Phadenwa',Colombia,2010,978-958-732-054-1,Ediorial Universidad Del Cauca,"TULIO ENRIQUE ROJAS CURIEUX, ROBERTO NARANJO"
00000000006505,True,Libro resultado de investigación,Smart Drip System: Un Sistema de Riego Autónomo. propuesta de un sistema de riego autonomo con IoT,España,2020,978-620-0-39267-1,Centro De Formacion De La Cooperacion Espanola,"DANIELA PEREZ OLIVEROS, ELEONORA PALTA VELASCO, MARIA ISABEL VIDAL CAICEDO"
00000000006505,True,Libro resultado de investigación,Sistema Unificado de Amenazas basado en dispositivos de bajo costo,España,2019,978-613-9-46530-9,Editorial Académica Española,"KATERINE MARCELES VILLALBA, SILER AMADOR DONADO, MICHELLE DAYANA ROMERO LOPEZ, ALEXANDER MAMPOTES PIPI"
00000000003212,True,Libro resultado de investigación,Kwe'sx nasa yuwete we'wnxi Paylatewe'sx. Léxico del nasa yuwe de La Paila Naya,Colombia,2014,978-958-46-8932-0,Signa Artes Gráficas,"TULIO ENRIQUE ROJAS CURIEUX, ESTEBAN DIAZ MONTENEGRO, GENY KATERINE GONZALES CASTANO"
00000000006505,True,Libro resultado de investigación,Arquitectura para el despliegue de servicios interactivos de TV móvil,Colombia,2018,978-958-732-315-3,Universidad del Cauca,"GABRIEL ELIAS CHANCHI GOLONDRINO, JOSE LUIS ARCINIEGAS HERRERA"
00000000006505,True,Libro resultado de investigación,Redes de datos sobre plataforma Juniper,Colombia,2016,978-958-8952-32-1,Editorial Kinesis,"GABRIEL ELIAS CHANCHI GOLONDRINO, WILMAR YESID CAMPO MUNOZ"
00000000007601,True,Libro resultado de investigación,Argumentación y desarrollo del pensamiento crítico en entornos virtuales de aprendizaje,Colombia,2017,978-958-651-621-1,Unad,"PAULA ANDREA MORA PEDREROS, JHON JAIRO CARDOZO CARDONA, BEATRIZ AMADOR LESMES"
00000000005833,True,Libro resultado de investigación,La Nariz Electrónica en el Estudio de Fragancia-Aroma del Café Origen,Letonia,2020,978-620-0-39884-0,Editorial Académica Española,"DIEGO ANDRES CAMPO CEBALLOS, CARLOS ALBERTO GAVIRIA LOPEZ"
00000000005833,True,Libro resultado de investigación,Formulación de programas de ahorro y uso eficiente de agua y energía.,Letonia,2020,978-620-0-35416-7,Editorial Académica Española,"JOHANA PATRICIA ASTUDILLO GUTIERREZ, JHON ALEXANDER GUERRERO NARVAEZ"
00000000012288,True,Libro resultado de investigación,Antología del Pensamiento Social en Colombia (Impreso),Colombia,2018,978-958-8920-80-1,EDITORIAL USC,"EDWARD JAVIER ORDONEZ, ALEXANDER LUNA NIETO"
00000000002157,True,Libro resultado de investigación,Sistema Unificado de Amenazas basado en dispositivos de bajo costo,España,2019,978-613-9-46530-9,Editorial Académica Española,"KATERINE MARCELES VILLALBA, SILER AMADOR DONADO, ALEXANDER MAMPOTES PIPI, MICHELLE DAYANA ROMERO LOPEZ"
00000000008159,True,Libro resultado de investigación,"PLAN ESTRATÉGICO DEPARTAMENTAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN PARA EL CAUCA",Colombia,2013,978-958-570448-0,Editorial Universidad Del Cauca,"FERNANDO ANDRES MUNOZ GOMEZ, ADOLFO PLAZAS TENORIO, JUAN PABLO MARTINEZ IDROBO, LUZ STELLA PEMBERTHY GALLO, JUAN DIEGO OTERO SARMIENTO, SAMIR CARLOS JOAQUI DAZA, MONICA PATRICIA VALENCIA ROJAS"
00000000008159,True,Libro resultado de investigación,Plan Estratégico Departamental De Ciencia Tecnología e Innovación del Cauca,Colombia,2013,978-958-57044-8-0,Universidad del Cauca,"JUAN PABLO MARTINEZ IDROBO, APOLINAR FIGUEROA CASAS, SAMIR CARLOS JOAQUI DAZA, MONICA PATRICIA VALENCIA ROJAS, DIANA MARCELA RUIZ ORDONEZ, ADOLFO PLAZAS, JUAN DIEGO OTERO SARMIENTO, LORENA ALVEAR, FERNANDO ANDRES MUNOZ, MARIA CRISTINA ORDONEZ DIAZ, LUZ STELLA PEMBERTHY"
00000000008159,True,Libro resultado de investigación,Estrategias Piloto de Adaptación al Cambio Climático en Fuentes abastecedoras de los acueductos en los municipios de Cajibío y Popayán,Colombia,2013,978-958-58320-0-8,Universidad del Cauca,"JUAN DIEGO OTERO SARMIENTO, JUAN PABLO MARTINEZ IDROBO, SAMIR CARLOS JOAQUI DAZA, APOLINAR FIGUEROA CASAS, SILVIO ANDRES ORDONEZ, DIANA MARCELA RUIZ ORDONEZ, VICTORIA EUGENIA CEBALLOS SARRIA, MONICA PATRICIA VALENCIA ROJAS"
00000000005500,True,Libro resultado de investigación,Imagenes De Despertar,Colombia,2010,978-958-732-051-0,Editorial Universidad Del Cauca,ORLANDO MARTINEZ VESGA
00000000008159,True,Libro resultado de investigación,"Diseño de un plan interinstitucional de manejo, gestión y acciones integrales de recuperación y mantenimiento en los cerros tutelares de la ciudad de Popayán",Colombia,2014,978-958-58817-0-9,ECOTECMA SAS,"SAMIR CARLOS JOAQUI DAZA, JUAN PABLO MARTINEZ IDROBO, MONICA PATRICIA VALENCIA ROJAS, DAYAN GONZALEZ"
00000000002157,True,Libro resultado de investigación,Corpus Lingüísticos Estudio y aplicación en revitalización de lenguas indígenas,Colombia,2017,978-958-732-242-2,Editorial Universidad Del Cauca,"LUZ MARINA SIERRA MARTINEZ, CARLOS ALBERTO COBOS LOZADA, ERWIN MEZA VEGA, TULIO ENRIQUE ROJAS CURIEUX"
00000000002726,True,Libro resultado de investigación,Narrativa histórica en la revista Popayán. Una lectura desde el periodismo cultural,Colombia,2018,978-958-56724-8-2,Universidad del Cauca,ALEXANDER BUENDIA ASTUDILLO
00000000002157,True,Libro resultado de investigación,Construcción de micromundos para la apropiación social del patrimonio lingüístico en comunidades Nasa y Misak,Colombia,2016,978-958-732-216-3,Editorial Universidad Del Cauca,"ERWIN MEZA VEGA, TULIO ROJAS CURIEUX, SARA DONNELLY GARCES AGREDO"
00000000002726,True,Libro resultado de investigación,Régimen escópico colonial. La representación plástica mural de Popayán,Colombia,2014,9789584627018,Gamar Editores,FELIPE ANDRES GARCIA QUINTERO
00000000002726,True,Libro resultado de investigación,Habitar La Piel: Una Aproximación A Las Prácticas De Modificación Corporal En El Suroccidente Colombiano,Colombia,2015,978-958-732-157-9,Editorial Universidad Del Cauca,"JUAN CARLOS PINO CORREA, DEIBAR RENE HURTADO HERRERA, MARIA ANDREA SIMMONDS TABBERT"
00000000002726,True,Libro resultado de investigación,No solo la noche es oscura,Colombia,2016,978-958-732-229-3,Sello Editorial Universidad del Cauca,JUAN CARLOS PINO CORREA
00000000002726,True,Libro resultado de investigación,"Narrar y habitar la ciudad. Jóvenes, comunicación y educación en las narrativas urbanas",Colombia,2017,978-958-732-240-8,Editorial Universidad Del Cauca,ALEXANDER BUENDIA ASTUDILLO
00000000002726,True,Libro resultado de investigación,La piel sagrada,Colombia,2017,978-958-720-446-9,Fondo Editorial Eafit,JUAN CARLOS PINO CORREA
00000000002726,True,Libro resultado de investigación,La ciudad colonial y sus textualidades contemporáneas,Colombia,2017,978-958-732-304-7,Editorial Universidad Del Cauca,FELIPE ANDRES GARCIA QUINTERO
00000000002726,True,Libro resultado de investigación,Cómo tiene que ser visto lo que debe ser recordado,Colombia,2018,978-958-9022-07-8,Gamar Editores,FELIPE ANDRES GARCIA QUINTERO
00000000002726,True,Libro resultado de investigación,Hacer camino en La Mancha: Memorias breves y estampas cotidianas,Colombia,2018,978-84-7789-353-0,"Biblioteca de Autores Manchegos, BAM",JUAN CARLOS PINO CORREA
00000000005361,True,Libro resultado de investigación,Acceso a la Educación Superior en Colombia: Política Pública y Resultados (2002-2010),Colombia,2013,978-958-99756-2-6,Institución Universitaria Tecnológica de Comfacauca,LINA URIBE
00000000005361,True,Libro resultado de investigación,Imaginarios y agenciamientos que configuran el consumo de alimentos en escolares,Colombia,2017,978-958-732-296-5,Ediorial Universidad Del Cauca,"SALOMON RODRIGUEZ GUARIN, ALEJANDRA RODRIGUEZ GUARIN"
00000000003792,True,Libro resultado de investigación,Iso/Iec 29110 Para Procesos Software En Las Pequeñas Empresas,España,2018,978-84-8143-967-0,AENOREdiciones,"FRANCISCO JOSE PINO CORREA, ANDRES FABIAN PINO ANACONA, ANDRES MAURICIO CAICEDO RENDON, MARIO PIATTINI"
